Match Number,Date,Time (EST),Opponent,Goals,Shots,Shots on target,Shots off target,Shots on post,Shot Accuracy,Attempts inside box,Attempts outside box,Headed shots,Headed goals,Left footed shots,Right footed shots,Free kick shots,Free kick goals,Penalty kicks,Penalty kick goals,Possession,Possession time,Passes,Accurate passes,Pass Accuracy,Long balls,Accurate long balls,Long ball pct,Crosses,Accurate crosses,Cross pct,Through balls,Accurate through balls,Assists,Shot assists,Offsides,xG,xG non-penalty,xG open play,xG set play,xG on target,xA,xA open play,xA set play,Big chances created,Big chances missed,Final third entries,Penalty area entries,Successful final third passes,Total final third passes,Touches in opp box,Dispossessed,Unsuccessful touches,Fouled in final third,Total fastbreaks,Accurate throws,Total throws,Total back zone pass,Total fwd zone pass,Fouls committed,Fouls suffered,Yellow cards,Red cards,Corners won,Corners conceded,Aerials won,Aerials lost,Aerial duel pct,Duels,Duels won,Duels lost,Duel win pct,Ground duels,Ground duels won,Contests won,Total contests,Touches,Pass pct,Blocked shots,Effective clearances,Total clearances,Tackles won,Tackles lost,Total tackles,Tackle pct,Interceptions,Ball recoveries,Poss won att 3rd,Poss won mid 3rd,Poss won def 3rd,Attempts conceded inside box,Attempts conceded outside box,PPDA,FK fouls lost,Challenges lost,Defensive actions,Clean sheet,Goals conceded,Saves,Save pct,Shots faced,Crosses claimed,Unclaimed crosses,Punches,Smothers,PK faced,PK saved,PK save pct,PK conceded,Shootout kicks faced,Shootout saves,Shootout save pct,xG conceded,xG conceded non-pen,xG on target conceded,xG on target conceded non-pen,Accurate sweeper actions,Total sweeper actions,Good high claims,Total high claims,Accurate goal kicks,Goal kicks,Accurate keeper throws,Keeper throws,Goals prevented,Shots on goal against,ATK,DEF,EFF,AGG
3,6/12/2026,15:00,Bosnia and Herzegovina,1,13,4,9,0,31%,10,3,0,0,4,7,20,0,0,0,61%,0.0,421,310,74%,41,18,0.44,24,5,0.21,2,1,1,12,1,1.23,1.23,0.97,0.26,0.75,1.28,1.17,0.12,1,2,73,49,104,164,37,13,19,3,1,21,32,158,287,10,20,2,0,9,4,21,43,0.33,150,71,79,0.47,86,50,7,14,650,0.74,4,21,21,15,0,23,0.65,4,51,4,20,24,5,3,8.6,10,6,27,0,1,2,0.01,8,0,0,1,0,0,0,0.0,0,0,0,0.0,0.96,0.96,1.0,1.0,1,1,,,7,7,2,2,0.0,3,37.8,69.4,63.3,36.5
3,6/18/2026,18:00,Qatar,6,32,10,22,0,31%,21,11,0,0,12,15,10,1,0,0,79%,0.0,567,515,91%,16,10,0.62,55,13,0.24,1,1,1,21,1,4.6,4.6,3.77,0.83,4.85,3.86,3.68,0.18,4,3,60,73,342,381,97,11,13,5,,23,23,78,544,9,10,1,0,19,1,8,7,0.53,67,33,34,0.49,52,25,6,11,771,0.91,14,3,3,5,0,9,0.56,6,39,6,20,11,1,1,7.0,9,2,23,1,0,0,,2,0,0,0,0,0,0,0.0,0,0,0,0.0,0.22,0.22,,,,,,,2,2,2,2,0.0,0,37.8,69.4,63.3,36.5
3,6/24/2026,15:00,Switzerland,1,13,7,6,0,54%,12,1,0,0,3,6,19,0,0,0,45%,0.0,339,271,80%,43,20,0.47,26,6,0.23,1,1,1,12,3,1.66,1.66,1.07,0.59,2.76,1.25,1.1,0.15,3,2,60,44,71,105,23,11,15,3,1,13,27,136,229,13,19,2,0,7,2,13,16,0.45,100,49,51,0.49,71,36,8,13,540,0.8,3,19,19,5,0,9,0.56,13,40,2,19,13,5,1,12.8,13,6,30,0,2,2,0.01,6,1,0,0,0,0,0,0.0,0,0,0,0.0,1.11,1.11,1.17,1.17,3,3,0,1,5,5,2,2,-0.83,4,37.8,69.4,63.3,36.5
4,6/28/2026,15:00,South Africa,1,12,7,5,0,58%,9,3,0,0,3,5,10,0,0,0,42%,0.0,379,298,79%,31,15,0.48,13,5,0.39,1,1,0,10,0,1.38,1.38,0.4,0.97,1.67,1.17,0.57,0.6,4,4,62,27,78,126,25,8,19,2,2,14,21,139,253,16,10,2,0,4,1,22,10,0.69,117,57,60,0.49,85,35,7,21,569,0.79,0,16,16,15,0,20,0.75,8,56,5,27,15,1,5,11.0,16,12,45,1,0,1,0.01,6,1,0,0,0,0,0,0.0,0,0,0,0.0,0.14,0.14,0.11,0.11,0,0,1,1,4,4,8,8,0.11,1,37.8,69.4,63.3,36.5
5,7/4/2026,13:00,Morocco,0,10,3,7,0,30%,6,4,0,0,4,5,14,0,0,0,45%,0.0,359,272,76%,31,12,0.39,30,8,0.27,0,0,0,8,2,0.84,0.84,0.37,0.47,0.53,0.57,0.45,0.12,1,1,57,42,87,137,33,8,16,4,1,13,24,134,255,24,14,4,0,11,1,17,19,0.47,113,54,59,0.48,77,37,5,10,546,0.76,3,10,10,9,0,18,0.5,5,43,8,20,13,3,2,9.8,24,6,45,0,3,1,0.0,5,0,0,0,0,0,0,0.0,0,0,0,0.0,0.82,0.82,2.15,2.15,1,1,0,0,1,1,2,2,-0.85,4,37.8,69.4,63.3,36.5
