Match Number,Date,Time (EST),Opponent,Goals,Shots,Shots on target,Shots off target,Shots on post,Shot Accuracy,Attempts inside box,Attempts outside box,Headed shots,Headed goals,Left footed shots,Right footed shots,Free kick shots,Free kick goals,Penalty kicks,Penalty kick goals,Possession,Possession time,Passes,Accurate passes,Pass Accuracy,Long balls,Accurate long balls,Long ball pct,Crosses,Accurate crosses,Cross pct,Through balls,Accurate through balls,Assists,Shot assists,Offsides,xG,xG non-penalty,xG open play,xG set play,xG on target,xA,xA open play,xA set play,Big chances created,Big chances missed,Final third entries,Penalty area entries,Successful final third passes,Total final third passes,Touches in opp box,Dispossessed,Unsuccessful touches,Fouled in final third,Total fastbreaks,Accurate throws,Total throws,Total back zone pass,Total fwd zone pass,Fouls committed,Fouls suffered,Yellow cards,Red cards,Corners won,Corners conceded,Aerials won,Aerials lost,Aerial duel pct,Duels,Duels won,Duels lost,Duel win pct,Ground duels,Ground duels won,Contests won,Total contests,Touches,Pass pct,Blocked shots,Effective clearances,Total clearances,Tackles won,Tackles lost,Total tackles,Tackle pct,Interceptions,Ball recoveries,Poss won att 3rd,Poss won mid 3rd,Poss won def 3rd,Attempts conceded inside box,Attempts conceded outside box,PPDA,FK fouls lost,Challenges lost,Defensive actions,Clean sheet,Goals conceded,Saves,Save pct,Shots faced,Crosses claimed,Unclaimed crosses,Punches,Smothers,PK faced,PK saved,PK save pct,PK conceded,Shootout kicks faced,Shootout saves,Shootout save pct,xG conceded,xG conceded non-pen,xG on target conceded,xG on target conceded non-pen,Accurate sweeper actions,Total sweeper actions,Good high claims,Total high claims,Accurate goal kicks,Goal kicks,Accurate keeper throws,Keeper throws,Goals prevented,Shots on goal against,ATK,DEF,EFF,AGG
3,6/14/2026,16:00,Japan,2,10,6,4,0,60%,10,,0,1,2,3,6,0,0,0,60%,0.0,524,463,88%,35,16,0.46,21,8,0.38,1,0,2,10,1,0.79,0.79,0.33,0.45,2.16,1.29,1.07,0.22,,,79,35,133,164,33,4,9,2,,19,21,163,382,7,6,3,0,5,4,21,7,0.75,74,46,28,0.62,46,25,8,15,678,0.88,1,23,23,5,0,11,0.46,7,26,4,11,7,6,4,17.1,7,3,14,0,2,1,0.0,10,0,0,0,0,0,0,0.0,0,0,0,0.0,0.59,0.59,1.32,1.32,1,1,,,6,9,2,2,-0.68,3,45.0,62.2,87.8,20.7
3,6/20/2026,13:00,Sweden,5,10,7,3,0,70%,6,4,0,0,2,7,11,0,0,0,51%,0.0,449,398,89%,35,18,0.51,16,3,0.19,1,1,5,9,3,2.61,2.61,2.61,,4.2,1.43,1.42,0.0,3,,49,20,75,97,20,8,13,2,2,8,13,216,249,9,11,0,0,2,5,14,13,0.52,89,43,46,0.48,62,29,3,13,618,0.89,1,24,24,8,0,15,0.53,8,40,6,18,11,7,9,15.8,9,7,21,0,1,7,0.01,16,0,0,1,0,0,0,0.0,0,0,0,0.0,1.01,1.01,1.71,1.71,,,,,9,11,,,0.71,8,45.0,62.2,87.8,20.7
3,6/25/2026,19:00,Tunisia,3,20,7,13,1,35%,16,4,0,1,2,12,11,0,0,0,71%,0.0,647,602,93%,22,15,0.68,27,6,0.22,3,0,2,15,1,1.84,1.84,1.04,0.8,2.21,1.66,1.34,0.33,2,1,111,43,192,231,44,7,14,3,0,14,14,162,512,10,11,0,0,6,4,13,9,0.59,75,37,38,0.49,53,24,5,16,825,0.93,5,17,17,5,0,8,0.62,10,44,6,21,12,4,6,6.6,10,2,32,0,1,3,0.01,10,0,0,0,0,0,0,0.0,0,0,0,0.0,0.62,0.62,0.94,0.94,1,1,0,0,6,6,5,5,-0.06,4,45.0,62.2,87.8,20.7
4,6/29/2026,21:00,Morocco,1,6,2,4,0,33%,4,2,0,0,3,1,15,0,0,0,30%,0.0,371,292,79%,47,16,0.34,10,3,0.3,1,0,1,4,3,0.24,0.24,0.19,0.04,0.16,0.41,0.37,0.04,1,0,60,27,45,92,17,7,15,0,0,18,28,188,193,18,15,0,0,5,8,18,12,0.6,106,53,53,0.5,76,35,2,14,561,0.79,3,22,22,10,0,19,0.53,11,46,5,13,22,7,4,20.9,18,8,30,0,1,5,0.01,11,0,0,0,0,0,0,0.0,0,5,0,0.0,1.38,1.38,2.28,2.28,0,0,0,0,7,8,2,2,1.28,6,45.0,62.2,87.8,20.7
