Match Number,Date,Time (EST),Opponent,Goals,Shots,Shots on target,Shots off target,Shots on post,Shot Accuracy,Attempts inside box,Attempts outside box,Headed shots,Headed goals,Left footed shots,Right footed shots,Free kick shots,Free kick goals,Penalty kicks,Penalty kick goals,Possession,Possession time,Passes,Accurate passes,Pass Accuracy,Long balls,Accurate long balls,Long ball pct,Crosses,Accurate crosses,Cross pct,Through balls,Accurate through balls,Assists,Shot assists,Offsides,xG,xG non-penalty,xG open play,xG set play,xG on target,xA,xA open play,xA set play,Big chances created,Big chances missed,Final third entries,Penalty area entries,Successful final third passes,Total final third passes,Touches in opp box,Dispossessed,Unsuccessful touches,Fouled in final third,Total fastbreaks,Accurate throws,Total throws,Total back zone pass,Total fwd zone pass,Fouls committed,Fouls suffered,Yellow cards,Red cards,Corners won,Corners conceded,Aerials won,Aerials lost,Aerial duel pct,Duels,Duels won,Duels lost,Duel win pct,Ground duels,Ground duels won,Contests won,Total contests,Touches,Pass pct,Blocked shots,Effective clearances,Total clearances,Tackles won,Tackles lost,Total tackles,Tackle pct,Interceptions,Ball recoveries,Poss won att 3rd,Poss won mid 3rd,Poss won def 3rd,Attempts conceded inside box,Attempts conceded outside box,PPDA,FK fouls lost,Challenges lost,Defensive actions,Clean sheet,Goals conceded,Saves,Save pct,Shots faced,Crosses claimed,Unclaimed crosses,Punches,Smothers,PK faced,PK saved,PK save pct,PK conceded,Shootout kicks faced,Shootout saves,Shootout save pct,xG conceded,xG conceded non-pen,xG on target conceded,xG on target conceded non-pen,Accurate sweeper actions,Total sweeper actions,Good high claims,Total high claims,Accurate goal kicks,Goal kicks,Accurate keeper throws,Keeper throws,Goals prevented,Shots on goal against,ATK,DEF,EFF,AGG
3,6/11/2026,15:00,South Africa,2,16,4,12,1,25%,9,7,0,1,3,10,11,0,0,0,60%,0.0,520,467,90%,48,31,0.65,12,4,0.33,2,1,2,13,1,1.46,1.46,1.14,0.32,1.28,1.2,1.09,0.12,2,,53,16,83,107,20,8,13,3,,21,21,292,240,12,11,1,1,3,1,15,7,0.68,80,47,33,0.59,58,32,9,15,676,0.9,5,15,15,6,0,12,0.5,8,40,5,16,13,1,2,11.6,12,1,26,1,0,2,0.01,3,1,0,0,0,0,0,0.0,0,0,0,0.0,0.07,0.07,0.13,0.13,,,,1,4,5,3,3,0.13,2,32.0,87.8,66.9,23.7
3,6/18/2026,21:00,South Korea,1,8,4,4,0,50%,5,3,0,0,2,4,7,0,0,0,42%,0.0,427,349,82%,56,16,0.29,6,4,0.67,1,0,0,6,3,0.53,0.53,0.53,,0.9,0.31,0.31,0.0,1,1,43,10,39,72,6,13,13,,,15,17,257,176,9,7,0,0,1,2,15,13,0.54,89,42,47,0.47,61,27,6,10,588,0.82,1,20,20,7,0,14,0.5,6,50,3,26,12,6,3,16.2,9,9,30,1,0,2,0.01,9,0,0,1,0,0,0,0.0,0,0,0,0.0,0.91,0.91,0.76,0.76,2,2,,,3,5,3,3,0.76,2,32.0,87.8,66.9,23.7
3,6/24/2026,21:00,Czech Republic,3,11,5,6,0,45%,9,2,0,0,4,6,9,0,0,0,48%,0.0,386,330,85%,55,34,0.62,12,1,0.08,1,0,3,10,0,1.74,1.74,1.66,0.09,2.35,0.44,0.44,0.0,5,2,47,28,84,111,15,10,20,2,1,18,20,189,209,13,9,1,0,1,5,9,13,0.41,76,34,42,0.45,54,25,4,6,551,0.85,2,30,30,8,0,12,0.67,7,38,4,11,20,6,7,15.1,13,5,23,1,0,1,0.01,13,0,0,0,0,0,0,0.0,0,0,0,0.0,0.53,0.53,0.13,0.13,0,0,0,0,6,11,1,1,0.13,1,32.0,87.8,66.9,23.7
4,6/30/2026,22:00,Ecuador,2,15,3,12,0,20%,10,5,0,0,2,9,14,0,0,0,43%,0.0,319,249,78%,59,28,0.47,7,4,0.57,1,1,2,14,0,1.02,1.02,0.89,0.12,1.43,0.75,0.67,0.09,2,2,61,12,60,103,20,6,16,1,1,14,16,132,194,10,14,0,0,3,8,21,12,0.64,89,49,40,0.55,56,28,4,9,486,0.78,3,38,38,5,0,10,0.5,7,35,2,17,10,5,2,13.0,10,7,21,1,0,1,0.01,7,2,0,2,0,0,0,0.0,0,0,0,0.0,0.72,0.72,0.63,0.63,0,0,1,2,10,13,3,3,0.63,1,32.0,87.8,66.9,23.7
