Match Number,Date,Time (EST),Opponent,Goals,Shots,Shots on target,Shots off target,Shots on post,Shot Accuracy,Attempts inside box,Attempts outside box,Headed shots,Headed goals,Left footed shots,Right footed shots,Free kick shots,Free kick goals,Penalty kicks,Penalty kick goals,Possession,Possession time,Passes,Accurate passes,Pass Accuracy,Long balls,Accurate long balls,Long ball pct,Crosses,Accurate crosses,Cross pct,Through balls,Accurate through balls,Assists,Shot assists,Offsides,xG,xG non-penalty,xG open play,xG set play,xG on target,xA,xA open play,xA set play,Big chances created,Big chances missed,Final third entries,Penalty area entries,Successful final third passes,Total final third passes,Touches in opp box,Dispossessed,Unsuccessful touches,Fouled in final third,Total fastbreaks,Accurate throws,Total throws,Total back zone pass,Total fwd zone pass,Fouls committed,Fouls suffered,Yellow cards,Red cards,Corners won,Corners conceded,Aerials won,Aerials lost,Aerial duel pct,Duels,Duels won,Duels lost,Duel win pct,Ground duels,Ground duels won,Contests won,Total contests,Touches,Pass pct,Blocked shots,Effective clearances,Total clearances,Tackles won,Tackles lost,Total tackles,Tackle pct,Interceptions,Ball recoveries,Poss won att 3rd,Poss won mid 3rd,Poss won def 3rd,Attempts conceded inside box,Attempts conceded outside box,PPDA,FK fouls lost,Challenges lost,Defensive actions,Clean sheet,Goals conceded,Saves,Save pct,Shots faced,Crosses claimed,Unclaimed crosses,Punches,Smothers,PK faced,PK saved,PK save pct,PK conceded,Shootout kicks faced,Shootout saves,Shootout save pct,xG conceded,xG conceded non-pen,xG on target conceded,xG on target conceded non-pen,Accurate sweeper actions,Total sweeper actions,Good high claims,Total high claims,Accurate goal kicks,Goal kicks,Accurate keeper throws,Keeper throws,Goals prevented,Shots on goal against,ATK,DEF,EFF,AGG
2,6/15/2026,18:00,Saudi Arabia,1,27,10,17,0,37%,16,11,0,0,6,10,11,0,0,0,67%,0.0,612,540,88%,41,24,0.58,47,16,0.34,0,0,0,19,6,1.72,1.72,0.85,0.88,1.68,1.68,1.19,0.49,1,1,65,47,169,204,41,7,13,3,,20,20,230,429,6,11,0,0,14,4,20,22,0.48,82,42,40,0.51,40,22,8,12,815,0.88,7,17,17,2,0,3,0.67,10,52,6,25,18,4,3,12.0,6,3,22,0,1,2,0.01,7,0,0,1,0,0,0,0.0,0,0,0,0.0,0.66,0.66,0.65,0.65,1,1,,,3,3,2,2,-0.35,3,24.5,72.2,38.8,37.8
2,6/21/2026,18:00,Cape Verde,2,17,2,15,0,12%,9,8,0,1,1,12,4,0,0,0,65%,0.0,511,420,82%,48,23,0.48,29,4,0.14,1,0,1,12,3,2.32,2.32,2.0,0.31,1.65,0.86,0.75,0.1,1,,74,51,142,197,34,5,11,1,2,28,30,125,415,11,4,2,0,11,4,20,16,0.56,102,47,55,0.46,66,27,7,18,697,0.82,7,11,11,8,0,16,0.5,7,44,6,17,17,2,10,8.8,11,12,29,0,2,2,0.01,12,0,0,0,0,0,0,0.0,0,0,0,0.0,0.89,0.89,1.26,1.26,,1,,,3,4,3,3,-0.74,4,24.5,72.2,38.8,37.8
3,6/26/2026,20:00,Spain,0,5,1,4,0,20%,2,3,0,0,1,4,14,0,0,0,33%,0.0,301,228,76%,43,15,0.35,16,1,0.06,3,0,0,5,5,0.2,0.2,0.13,0.07,0.1,0.34,0.34,0.0,1,1,42,21,69,105,12,9,16,4,1,15,17,119,198,14,14,3,1,1,6,5,16,0.24,106,51,55,0.48,85,46,7,15,482,0.76,1,14,14,15,0,25,0.6,14,51,11,15,16,5,1,12.0,14,9,42,0,1,0,,6,1,0,0,0,0,0,0.0,0,0,0,0.0,0.86,0.86,0.2,0.2,0,0,1,1,2,5,2,2,-0.8,1,24.5,72.2,38.8,37.8
