Match Number,Date,Time (EST),Opponent,Goals,Shots,Shots on target,Shots off target,Shots on post,Shot Accuracy,Attempts inside box,Attempts outside box,Headed shots,Headed goals,Left footed shots,Right footed shots,Free kick shots,Free kick goals,Penalty kicks,Penalty kick goals,Possession,Possession time,Passes,Accurate passes,Pass Accuracy,Long balls,Accurate long balls,Long ball pct,Crosses,Accurate crosses,Cross pct,Through balls,Accurate through balls,Assists,Shot assists,Offsides,xG,xG non-penalty,xG open play,xG set play,xG on target,xA,xA open play,xA set play,Big chances created,Big chances missed,Final third entries,Penalty area entries,Successful final third passes,Total final third passes,Touches in opp box,Dispossessed,Unsuccessful touches,Fouled in final third,Total fastbreaks,Accurate throws,Total throws,Total back zone pass,Total fwd zone pass,Fouls committed,Fouls suffered,Yellow cards,Red cards,Corners won,Corners conceded,Aerials won,Aerials lost,Aerial duel pct,Duels,Duels won,Duels lost,Duel win pct,Ground duels,Ground duels won,Contests won,Total contests,Touches,Pass pct,Blocked shots,Effective clearances,Total clearances,Tackles won,Tackles lost,Total tackles,Tackle pct,Interceptions,Ball recoveries,Poss won att 3rd,Poss won mid 3rd,Poss won def 3rd,Attempts conceded inside box,Attempts conceded outside box,PPDA,FK fouls lost,Challenges lost,Defensive actions,Clean sheet,Goals conceded,Saves,Save pct,Shots faced,Crosses claimed,Unclaimed crosses,Punches,Smothers,PK faced,PK saved,PK save pct,PK conceded,Shootout kicks faced,Shootout saves,Shootout save pct,xG conceded,xG conceded non-pen,xG on target conceded,xG on target conceded non-pen,Accurate sweeper actions,Total sweeper actions,Good high claims,Total high claims,Accurate goal kicks,Goal kicks,Accurate keeper throws,Keeper throws,Goals prevented,Shots on goal against
2,6/17/2026,19:00,Ghana,0,11,4,7,0,36%,6,5,0,0,3,7,9,0,0,0,62%,0.0,583,503,86%,70,34,0.49,21,4,0.19,3,1,0,8,1,0.73,0.73,0.49,0.24,1.36,0.87,0.83,0.04,2,2,66,29,78,126,19,8,17,1,,23,23,351,253,11,9,2,0,2,2,13,21,0.38,113,57,56,0.5,79,44,6,14,773,0.86,2,17,17,11,0,29,0.38,5,48,3,21,21,6,1,10.6,11,9,27,0,1,2,0.01,7,0,0,0,0,0,0,0.0,0,0,0,0.0,1.25,1.25,1.04,1.04,,,,,9,9,3,3,0.04,3
2,6/23/2026,19:00,Croatia,0,8,1,7,0,12%,6,2,0,0,1,5,12,0,0,0,42%,0.0,352,277,79%,54,25,0.46,31,6,0.19,0,0,0,5,1,0.55,0.55,0.29,0.27,0.04,0.73,0.57,0.16,1,1,55,30,67,108,19,11,15,2,0,9,14,153,230,19,12,1,0,7,2,26,15,0.63,121,58,63,0.48,80,32,11,19,549,0.79,2,29,29,5,0,10,0.5,5,49,3,21,19,4,2,11.9,19,11,34,0,1,1,0.01,6,0,0,0,0,0,0,0.0,0,0,0,0.0,1.65,1.65,1.21,1.21,0,0,0,0,4,6,5,5,0.21,2
3,6/27/2026,17:00,England,0,13,2,11,0,15%,8,5,0,0,3,8,12,0,0,0,33%,0.0,268,202,75%,54,25,0.46,9,3,0.33,1,0,0,9,4,0.66,0.66,0.42,0.24,0.21,0.42,0.4,0.02,0,0,38,17,29,54,14,9,16,2,0,19,24,163,114,16,12,2,0,3,7,11,17,0.39,104,43,61,0.41,76,32,6,15,468,0.75,3,34,34,11,0,16,0.69,6,48,2,15,22,12,5,14.5,16,10,25,0,2,4,0.01,17,1,0,1,0,0,0,0.0,0,0,0,0.0,1.56,1.56,2.01,2.01,2,2,0,1,10,12,9,9,0.01,6
