Match Number,Date,Time (EST),Opponent,Goals,Shots,Shots on target,Shots off target,Shots on post,Shot Accuracy,Attempts inside box,Attempts outside box,Headed shots,Headed goals,Left footed shots,Right footed shots,Free kick shots,Free kick goals,Penalty kicks,Penalty kick goals,Possession,Possession time,Passes,Accurate passes,Pass Accuracy,Long balls,Accurate long balls,Long ball pct,Crosses,Accurate crosses,Cross pct,Through balls,Accurate through balls,Assists,Shot assists,Offsides,xG,xG non-penalty,xG open play,xG set play,xG on target,xA,xA open play,xA set play,Big chances created,Big chances missed,Final third entries,Penalty area entries,Successful final third passes,Total final third passes,Touches in opp box,Dispossessed,Unsuccessful touches,Fouled in final third,Total fastbreaks,Accurate throws,Total throws,Total back zone pass,Total fwd zone pass,Fouls committed,Fouls suffered,Yellow cards,Red cards,Corners won,Corners conceded,Aerials won,Aerials lost,Aerial duel pct,Duels,Duels won,Duels lost,Duel win pct,Ground duels,Ground duels won,Contests won,Total contests,Touches,Pass pct,Blocked shots,Effective clearances,Total clearances,Tackles won,Tackles lost,Total tackles,Tackle pct,Interceptions,Ball recoveries,Poss won att 3rd,Poss won mid 3rd,Poss won def 3rd,Attempts conceded inside box,Attempts conceded outside box,PPDA,FK fouls lost,Challenges lost,Defensive actions,Clean sheet,Goals conceded,Saves,Save pct,Shots faced,Crosses claimed,Unclaimed crosses,Punches,Smothers,PK faced,PK saved,PK save pct,PK conceded,Shootout kicks faced,Shootout saves,Shootout save pct,xG conceded,xG conceded non-pen,xG on target conceded,xG on target conceded non-pen,Accurate sweeper actions,Total sweeper actions,Good high claims,Total high claims,Accurate goal kicks,Goal kicks,Accurate keeper throws,Keeper throws,Goals prevented,Shots on goal against,ATK,DEF,EFF,AGG
3,6/12/2026,21:00,Paraguay,4,16,6,10,0,38%,13,3,0,0,3,11,16,0,0,0,65%,0.0,598,509,85%,48,26,0.54,19,3,0.16,3,2,3,12,2,1.42,1.42,1.36,0.06,2.54,1.19,1.13,0.06,3,2,77,37,142,197,53,8,26,4,1,19,23,249,368,13,16,1,0,3,1,18,16,0.53,120,65,55,0.54,86,47,22,35,806,0.85,4,15,15,7,0,9,0.78,9,45,5,20,17,4,5,8.7,13,6,34,0,1,1,,9,1,0,0,0,0,0,0.0,0,0,0,0.0,0.54,0.54,0.42,0.42,,,1,1,2,3,3,3,-0.58,1,36.3,77.0,70.6,29.4
3,6/19/2026,15:00,Australia,2,10,2,8,0,20%,8,2,0,1,3,3,15,0,0,0,62%,0.0,523,444,85%,59,26,0.44,14,4,0.29,4,2,0,9,1,1.08,1.08,0.4,0.68,1.31,1.13,0.87,0.26,1,1,65,21,103,135,20,7,17,2,1,17,18,244,293,12,15,3,0,7,4,15,27,0.36,123,59,64,0.48,81,44,11,17,740,0.85,6,31,31,8,0,20,0.4,20,39,4,18,13,3,2,5.8,12,14,42,1,0,2,0.01,5,0,0,0,0,0,0,0.0,0,0,0,0.0,0.35,0.35,0.1,0.1,2,2,,,4,10,3,3,0.1,2,36.3,77.0,70.6,29.4
3,6/25/2026,22:00,Turkey,2,18,7,11,0,39%,15,3,0,0,8,7,13,0,0,0,53%,0.0,471,398,85%,42,16,0.38,19,5,0.26,2,1,1,14,5,2.13,2.13,1.64,0.48,2.36,1.09,0.91,0.18,3,3,57,27,84,115,36,22,12,0,0,24,31,233,257,13,13,1,0,9,2,12,12,0.5,110,46,64,0.42,86,34,7,17,703,0.84,5,27,27,9,0,14,0.64,9,42,2,19,13,8,1,10.7,13,9,30,0,3,1,,9,2,0,0,0,0,0,0.0,0,0,0,0.0,3.01,3.01,2.3,2.3,2,2,2,2,4,4,8,8,-0.7,3,36.3,77.0,70.6,29.4
4,7/1/2026,20:00,Bosnia and Herzegovina,2,8,2,6,1,25%,6,2,0,0,2,6,13,1,0,0,48%,0.0,415,348,84%,44,17,0.39,14,3,0.21,0,0,0,5,3,0.92,0.92,0.61,0.31,0.27,0.73,0.63,0.1,0,1,63,29,78,119,24,5,12,5,0,17,20,160,269,7,13,0,1,4,3,12,9,0.57,80,46,34,0.57,59,34,9,19,593,0.84,2,27,27,8,0,12,0.67,8,42,3,19,12,5,5,19.0,7,3,19,1,0,3,0.01,10,1,0,1,0,0,0,0.0,0,0,0,0.0,0.25,0.25,0.13,0.13,1,1,1,1,1,4,5,5,0.13,3,36.3,77.0,70.6,29.4
