Match Number,Date,Time (EST),Opponent,Goals,Shots,Shots on target,Shots off target,Shots on post,Shot Accuracy,Attempts inside box,Attempts outside box,Headed shots,Headed goals,Left footed shots,Right footed shots,Free kick shots,Free kick goals,Penalty kicks,Penalty kick goals,Possession,Possession time,Passes,Accurate passes,Pass Accuracy,Long balls,Accurate long balls,Long ball pct,Crosses,Accurate crosses,Cross pct,Through balls,Accurate through balls,Assists,Shot assists,Offsides,xG,xG non-penalty,xG open play,xG set play,xG on target,xA,xA open play,xA set play,Big chances created,Big chances missed,Final third entries,Penalty area entries,Successful final third passes,Total final third passes,Touches in opp box,Dispossessed,Unsuccessful touches,Fouled in final third,Total fastbreaks,Accurate throws,Total throws,Total back zone pass,Total fwd zone pass,Fouls committed,Fouls suffered,Yellow cards,Red cards,Corners won,Corners conceded,Aerials won,Aerials lost,Aerial duel pct,Duels,Duels won,Duels lost,Duel win pct,Ground duels,Ground duels won,Contests won,Total contests,Touches,Pass pct,Blocked shots,Effective clearances,Total clearances,Tackles won,Tackles lost,Total tackles,Tackle pct,Interceptions,Ball recoveries,Poss won att 3rd,Poss won mid 3rd,Poss won def 3rd,Attempts conceded inside box,Attempts conceded outside box,PPDA,FK fouls lost,Challenges lost,Defensive actions,Clean sheet,Goals conceded,Saves,Save pct,Shots faced,Crosses claimed,Unclaimed crosses,Punches,Smothers,PK faced,PK saved,PK save pct,PK conceded,Shootout kicks faced,Shootout saves,Shootout save pct,xG conceded,xG conceded non-pen,xG on target conceded,xG on target conceded non-pen,Accurate sweeper actions,Total sweeper actions,Good high claims,Total high claims,Accurate goal kicks,Goal kicks,Accurate keeper throws,Keeper throws,Goals prevented,Shots on goal against
2,6/17/2026,13:00,Portugal,1,8,2,6,0,25%,2,6,0,1,4,2,9,0,0,0,25%,0.0,249,195,78%,40,11,0.28,10,1,0.1,0,0,1,7,2,0.87,0.87,0.29,0.58,0.97,0.71,0.69,0.02,1,,35,12,50,73,10,5,17,,2,14,15,115,144,10,9,1,0,4,5,8,9,0.47,76,42,34,0.55,59,34,8,15,413,0.78,3,27,27,9,0,17,0.53,5,38,2,11,18,5,2,32.2,10,5,16,0,1,0,,7,3,0,0,0,0,0,0.0,0,0,0,0.0,0.65,0.65,0.53,0.53,1,1,3,3,4,8,5,5,-0.47,1
2,6/23/2026,22:00,Colombia,0,7,1,6,0,14%,3,4,0,0,4,2,11,0,0,0,36%,0.0,299,226,76%,48,14,0.29,14,4,0.29,0,0,0,7,0,0.37,0.37,0.23,0.13,0.08,0.42,0.26,0.16,0,0,37,22,33,68,10,8,15,0,1,11,20,160,153,16,11,1,0,4,5,9,19,0.32,82,35,47,0.43,54,26,1,2,457,0.76,2,19,19,10,0,15,0.67,7,37,1,11,19,11,9,13.8,16,3,27,0,1,8,0.01,20,0,0,1,0,0,0,0.0,0,0,0,0.0,0.98,0.98,1.39,1.39,1,1,0,0,7,11,5,6,0.39,9
3,6/27/2026,19:30,Uzbekistan,3,19,4,15,0,21%,11,8,0,0,5,12,15,0,1,0,58%,0.0,485,400,82%,60,28,0.47,22,6,0.27,0,0,1,14,3,2.18,1.39,1.2,0.19,2.35,0.89,0.88,0.01,1,1,63,33,90,127,30,17,23,3,2,19,26,225,282,6,15,3,0,2,4,12,23,0.34,121,58,63,0.48,86,46,11,23,716,0.82,1,25,25,13,0,20,0.65,7,64,3,29,30,2,1,11.6,6,5,23,0,1,1,0.01,3,0,0,0,0,0,0,0.0,0,0,0,0.0,0.2,0.2,0.29,0.29,0,0,0,0,4,7,1,1,-0.71,2
