Match Number,Date,Time (EST),Opponent,Goals,Shots,Shots on target,Shots off target,Shots on post,Shot Accuracy,Attempts inside box,Attempts outside box,Headed shots,Headed goals,Left footed shots,Right footed shots,Free kick shots,Free kick goals,Penalty kicks,Penalty kick goals,Possession,Possession time,Passes,Accurate passes,Pass Accuracy,Long balls,Accurate long balls,Long ball pct,Crosses,Accurate crosses,Cross pct,Through balls,Accurate through balls,Assists,Shot assists,Offsides,xG,xG non-penalty,xG open play,xG set play,xG on target,xA,xA open play,xA set play,Big chances created,Big chances missed,Final third entries,Penalty area entries,Successful final third passes,Total final third passes,Touches in opp box,Dispossessed,Unsuccessful touches,Fouled in final third,Total fastbreaks,Accurate throws,Total throws,Total back zone pass,Total fwd zone pass,Fouls committed,Fouls suffered,Yellow cards,Red cards,Corners won,Corners conceded,Aerials won,Aerials lost,Aerial duel pct,Duels,Duels won,Duels lost,Duel win pct,Ground duels,Ground duels won,Contests won,Total contests,Touches,Pass pct,Blocked shots,Effective clearances,Total clearances,Tackles won,Tackles lost,Total tackles,Tackle pct,Interceptions,Ball recoveries,Poss won att 3rd,Poss won mid 3rd,Poss won def 3rd,Attempts conceded inside box,Attempts conceded outside box,PPDA,FK fouls lost,Challenges lost,Defensive actions,Clean sheet,Goals conceded,Saves,Save pct,Shots faced,Crosses claimed,Unclaimed crosses,Punches,Smothers,PK faced,PK saved,PK save pct,PK conceded,Shootout kicks faced,Shootout saves,Shootout save pct,xG conceded,xG conceded non-pen,xG on target conceded,xG on target conceded non-pen,Accurate sweeper actions,Total sweeper actions,Good high claims,Total high claims,Accurate goal kicks,Goal kicks,Accurate keeper throws,Keeper throws,Goals prevented,Shots on goal against
5,6/11/2026,15:00,Mexico,0,3,2,1,0,67%,1,2,0,0,2,1,11,0,0,0,40%,0.0,334,272,81%,46,17,0.37,8,1,0.12,1,0,0,2,1,0.07,0.07,0.06,0.01,0.13,0.16,0.16,0.0,,,39,12,25,56,2,7,12,2,,9,11,210,132,11,11,2,2,1,3,7,15,0.32,80,33,47,0.41,58,26,1,6,468,0.81,0,17,17,7,0,14,0.5,7,44,1,12,22,9,7,19.0,11,9,22,0,2,2,0.01,16,2,0,1,0,0,0,0.0,0,0,0,0.0,1.46,1.46,1.28,1.28,1,1,2,2,6,8,7,7,-0.72,4
2,6/18/2026,12:00,Czechia,1,17,4,,,24%,,,,,,,,,,,62%,,563,,90%,,,,,,,,,,,3,,,,,,,,,,,,,,,,,,,,,,,,,,2,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3,6/18/2026,12:00,Czechia,1,17,4,,,24%,,,,,,,,,,,62%,,563,,90%,,,,,,,,,,,3,,,,,,,,,,,,,,,,,,,,,,,,,,2,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
5,6/18/2026,12:00,Czech Republic,1,17,4,13,0,24%,6,11,0,0,9,6,10,0,1,0,62%,0.0,563,508,90%,58,30,0.52,17,4,0.23,4,1,0,11,3,1.38,0.59,0.53,0.06,1.12,0.95,0.94,0.01,,,59,23,101,132,20,7,18,2,,14,15,278,302,10,10,2,0,5,5,9,13,0.41,92,47,45,0.51,70,38,8,13,747,0.9,8,24,24,11,0,20,0.55,9,45,2,22,18,11,3,8.8,10,10,34,0,1,2,0.01,14,0,0,1,0,0,0,0.0,0,0,0,0.0,1.02,1.02,0.53,0.53,,,,,8,10,1,1,-0.47,3
