Match Number,Date,Time (EST),Opponent,Goals,Shots,Shots on target,Shots off target,Shots on post,Shot Accuracy,Attempts inside box,Attempts outside box,Headed shots,Headed goals,Left footed shots,Right footed shots,Free kick shots,Free kick goals,Penalty kicks,Penalty kick goals,Possession,Possession time,Passes,Accurate passes,Pass Accuracy,Long balls,Accurate long balls,Long ball pct,Crosses,Accurate crosses,Cross pct,Through balls,Accurate through balls,Assists,Shot assists,Offsides,xG,xG non-penalty,xG open play,xG set play,xG on target,xA,xA open play,xA set play,Big chances created,Big chances missed,Final third entries,Penalty area entries,Successful final third passes,Total final third passes,Touches in opp box,Dispossessed,Unsuccessful touches,Fouled in final third,Total fastbreaks,Accurate throws,Total throws,Total back zone pass,Total fwd zone pass,Fouls committed,Fouls suffered,Yellow cards,Red cards,Corners won,Corners conceded,Aerials won,Aerials lost,Aerial duel pct,Duels,Duels won,Duels lost,Duel win pct,Ground duels,Ground duels won,Contests won,Total contests,Touches,Pass pct,Blocked shots,Effective clearances,Total clearances,Tackles won,Tackles lost,Total tackles,Tackle pct,Interceptions,Ball recoveries,Poss won att 3rd,Poss won mid 3rd,Poss won def 3rd,Attempts conceded inside box,Attempts conceded outside box,PPDA,FK fouls lost,Challenges lost,Defensive actions,Clean sheet,Goals conceded,Saves,Save pct,Shots faced,Crosses claimed,Unclaimed crosses,Punches,Smothers,PK faced,PK saved,PK save pct,PK conceded,Shootout kicks faced,Shootout saves,Shootout save pct,xG conceded,xG conceded non-pen,xG on target conceded,xG on target conceded non-pen,Accurate sweeper actions,Total sweeper actions,Good high claims,Total high claims,Accurate goal kicks,Goal kicks,Accurate keeper throws,Keeper throws,Goals prevented,Shots on goal against,ATK,DEF,EFF,AGG
3,6/11/2026,22:00,Czech Republic,2,15,6,9,0,40%,10,5,0,0,7,6,16,0,0,0,62%,0.0,541,469,87%,61,30,0.49,12,3,0.25,1,1,2,14,2,2.3,2.3,2.21,0.09,2.06,1.37,1.36,0.01,3,2,65,28,106,140,24,3,20,1,,24,26,232,321,9,16,1,0,4,5,27,16,0.63,94,56,38,0.6,51,29,8,14,725,0.87,4,32,32,4,0,7,0.57,9,36,1,16,14,5,2,12.0,9,4,21,0,1,3,0.01,7,0,0,0,0,0,0,0.0,0,0,0,0.0,0.82,0.82,2.07,2.07,1,1,,,2,4,2,2,1.07,4,22.4,66.5,29.3,23.4
3,6/18/2026,21:00,Mexico,0,9,2,7,0,22%,6,3,0,0,4,1,8,0,0,0,58%,0.0,578,488,84%,64,23,0.36,9,5,0.56,2,0,0,6,6,0.91,0.91,0.81,0.1,0.76,0.8,0.7,0.1,2,3,72,18,67,118,11,6,11,,,21,25,327,260,7,8,2,0,2,1,13,15,0.46,89,47,42,0.53,61,34,9,17,737,0.84,3,12,12,10,0,17,0.59,5,51,5,17,20,5,3,13.9,7,6,27,0,1,3,0.01,8,1,0,0,0,0,0,0.0,0,0,0,0.0,0.53,0.53,0.9,0.9,2,2,,1,3,5,6,6,-0.1,4,22.4,66.5,29.3,23.4
3,6/24/2026,21:00,South Africa,0,8,3,5,0,38%,5,3,0,0,2,3,7,0,0,0,68%,0.0,719,641,89%,52,29,0.56,34,7,0.21,2,2,0,7,0,0.9,0.9,0.5,0.41,1.42,1.6,1.54,0.06,1,1,81,39,160,201,18,5,18,1,0,24,24,329,424,9,7,1,0,6,4,20,16,0.56,87,45,42,0.52,51,25,6,12,887,0.89,1,16,16,9,0,12,0.75,4,42,6,15,15,5,8,20.0,9,6,14,0,1,3,0.01,13,1,0,0,0,0,0,0.0,0,0,0,0.0,1.16,1.16,0.5,0.5,0,0,1,1,4,5,4,4,-0.5,4,22.4,66.5,29.3,23.4
