Match Number,Date,Time (EST),Opponent,Goals,Shots,Shots on target,Shots off target,Shots on post,Shot Accuracy,Attempts inside box,Attempts outside box,Headed shots,Headed goals,Left footed shots,Right footed shots,Free kick shots,Free kick goals,Penalty kicks,Penalty kick goals,Possession,Possession time,Passes,Accurate passes,Pass Accuracy,Long balls,Accurate long balls,Long ball pct,Crosses,Accurate crosses,Cross pct,Through balls,Accurate through balls,Assists,Shot assists,Offsides,xG,xG non-penalty,xG open play,xG set play,xG on target,xA,xA open play,xA set play,Big chances created,Big chances missed,Final third entries,Penalty area entries,Successful final third passes,Total final third passes,Touches in opp box,Dispossessed,Unsuccessful touches,Fouled in final third,Total fastbreaks,Accurate throws,Total throws,Total back zone pass,Total fwd zone pass,Fouls committed,Fouls suffered,Yellow cards,Red cards,Corners won,Corners conceded,Aerials won,Aerials lost,Aerial duel pct,Duels,Duels won,Duels lost,Duel win pct,Ground duels,Ground duels won,Contests won,Total contests,Touches,Pass pct,Blocked shots,Effective clearances,Total clearances,Tackles won,Tackles lost,Total tackles,Tackle pct,Interceptions,Ball recoveries,Poss won att 3rd,Poss won mid 3rd,Poss won def 3rd,Attempts conceded inside box,Attempts conceded outside box,PPDA,FK fouls lost,Challenges lost,Defensive actions,Clean sheet,Goals conceded,Saves,Save pct,Shots faced,Crosses claimed,Unclaimed crosses,Punches,Smothers,PK faced,PK saved,PK save pct,PK conceded,Shootout kicks faced,Shootout saves,Shootout save pct,xG conceded,xG conceded non-pen,xG on target conceded,xG on target conceded non-pen,Accurate sweeper actions,Total sweeper actions,Good high claims,Total high claims,Accurate goal kicks,Goal kicks,Accurate keeper throws,Keeper throws,Goals prevented,Shots on goal against
5,6/13/2026,15:00,Qatar,1,26,7,19,0,27%,18,8,0,0,9,16,12,0,1,0,68%,0.0,576,527,91%,35,27,0.77,35,6,0.17,8,5,0,24,1,3.2,2.41,1.72,0.69,1.78,3.2,2.65,0.55,5,5,80,46,199,228,42,8,18,9,,13,17,170,441,11,12,1,0,10,3,10,10,0.5,73,37,36,0.51,53,27,7,13,769,0.92,9,13,13,6,0,8,0.75,7,50,7,24,13,5,2,11.2,11,2,22,0,1,3,0.01,6,0,0,0,0,0,0,0.0,0,0,0,0.0,0.6,0.6,0.46,0.46,2,2,,,5,5,6,6,-0.54,4
5,6/18/2026,15:00,Bosnia and Herzegovina,4,13,7,6,0,54%,9,4,0,0,3,8,17,0,1,0,62%,0.0,586,516,88%,50,25,0.5,23,1,0.04,4,0,2,10,3,2.06,1.27,1.03,0.24,2.46,0.88,0.87,0.01,3,1,57,39,131,165,35,7,10,3,,19,21,242,367,7,17,1,0,7,3,10,12,0.46,90,52,38,0.58,68,42,6,12,760,0.88,3,17,17,13,0,19,0.68,5,42,4,17,19,3,2,12.5,7,6,24,0,1,2,0.01,5,1,0,1,0,0,0,0.0,0,0,0,0.0,0.23,0.23,0.27,0.27,,,1,1,3,3,2,2,-0.73,3
5,6/24/2026,15:00,Canada,2,6,4,2,0,67%,5,1,0,0,2,4,13,0,0,0,55%,0.0,443,369,83%,45,17,0.38,6,1,0.17,4,1,2,4,1,1.11,1.11,1.08,0.04,1.17,0.58,0.58,0.0,2,2,48,19,38,76,14,7,16,2,1,14,25,262,187,19,13,1,0,2,7,16,13,0.55,100,51,49,0.51,71,35,6,8,626,0.83,1,44,44,7,0,16,0.44,4,35,3,15,10,12,1,8.2,19,8,30,0,1,6,0.01,13,1,0,2,0,0,0,0.0,0,0,0,0.0,1.66,1.66,2.76,2.76,0,0,1,1,12,13,5,5,1.76,7
4,7/2/2026,23:00,Algeria,2,11,5,6,0,45%,9,2,0,0,4,5,12,0,0,0,44%,0.0,438,355,81%,52,21,0.4,14,4,0.29,2,1,1,8,0,2.45,2.45,2.27,0.18,1.29,1.36,1.14,0.22,2,1,38,15,55,85,28,9,15,1,2,14,20,232,220,10,12,0,0,4,2,15,11,0.58,113,60,53,0.53,87,45,13,25,638,0.81,2,23,23,14,0,20,0.7,17,50,2,18,23,5,3,12.4,10,11,34,1,0,2,0.01,8,0,0,0,0,0,0,0.0,0,0,0,0.0,0.73,0.73,0.28,0.28,2,2,0,0,7,9,7,7,0.28,2
5,7/7/2026,16:00,Colombia,0,7,2,5,0,29%,4,3,0,0,6,1,21,0,0,0,53%,0.0,626,546,87%,62,31,0.5,15,1,0.07,2,0,0,3,5,0.35,0.35,0.29,0.06,0.17,0.32,0.31,0.01,0,0,65,26,101,143,18,5,12,2,0,19,22,347,294,22,21,3,0,3,7,16,15,0.52,112,52,60,0.46,81,36,4,15,833,0.87,1,37,37,7,0,13,0.54,13,46,4,20,18,9,6,11.1,22,9,42,1,0,3,0.01,15,1,0,0,0,0,0,0.0,0,5,0,0.0,1.03,1.03,0.43,0.43,0,0,1,1,10,11,3,3,0.43,3
