Match Number,Date,Time (EST),Opponent,Goals,Shots,Shots on target,Shots off target,Shots on post,Shot Accuracy,Attempts inside box,Attempts outside box,Headed shots,Headed goals,Left footed shots,Right footed shots,Free kick shots,Free kick goals,Penalty kicks,Penalty kick goals,Possession,Possession time,Passes,Accurate passes,Pass Accuracy,Long balls,Accurate long balls,Long ball pct,Crosses,Accurate crosses,Cross pct,Through balls,Accurate through balls,Assists,Shot assists,Offsides,xG,xG non-penalty,xG open play,xG set play,xG on target,xA,xA open play,xA set play,Big chances created,Big chances missed,Final third entries,Penalty area entries,Successful final third passes,Total final third passes,Touches in opp box,Dispossessed,Unsuccessful touches,Fouled in final third,Total fastbreaks,Accurate throws,Total throws,Total back zone pass,Total fwd zone pass,Fouls committed,Fouls suffered,Yellow cards,Red cards,Corners won,Corners conceded,Aerials won,Aerials lost,Aerial duel pct,Duels,Duels won,Duels lost,Duel win pct,Ground duels,Ground duels won,Contests won,Total contests,Touches,Pass pct,Blocked shots,Effective clearances,Total clearances,Tackles won,Tackles lost,Total tackles,Tackle pct,Interceptions,Ball recoveries,Poss won att 3rd,Poss won mid 3rd,Poss won def 3rd,Attempts conceded inside box,Attempts conceded outside box,PPDA,FK fouls lost,Challenges lost,Defensive actions,Clean sheet,Goals conceded,Saves,Save pct,Shots faced,Crosses claimed,Unclaimed crosses,Punches,Smothers,PK faced,PK saved,PK save pct,PK conceded,Shootout kicks faced,Shootout saves,Shootout save pct,xG conceded,xG conceded non-pen,xG on target conceded,xG on target conceded non-pen,Accurate sweeper actions,Total sweeper actions,Good high claims,Total high claims,Accurate goal kicks,Goal kicks,Accurate keeper throws,Keeper throws,Goals prevented,Shots on goal against
3,6/13/2026,18:00,Brazil,1,14,3,11,0,21%,7,7,0,0,1,12,16,0,0,0,49%,0.0,486,419,86%,52,17,0.33,15,2,0.13,1,1,1,10,1,1.37,1.37,1.23,0.14,0.74,0.6,0.52,0.08,1,1,66,17,123,157,13,10,14,6,3,11,13,215,286,14,16,0,0,2,6,4,12,0.25,115,62,53,0.54,99,58,16,29,682,0.86,6,17,17,18,0,26,0.69,5,52,2,23,20,9,3,19.1,14,5,21,0,1,4,0.01,12,0,0,2,0,0,0,0.0,0,0,0,0.0,1.26,1.26,1.38,1.38,1,1,,,2,4,3,3,0.38,5
3,6/19/2026,18:00,Scotland,1,12,2,10,0,17%,9,3,0,0,3,8,10,0,0,0,59%,0.0,670,600,90%,44,14,0.32,10,2,0.2,3,2,1,12,0,0.99,0.99,0.97,0.02,0.49,0.97,0.95,0.02,3,2,62,26,96,134,26,7,13,2,2,19,19,373,307,8,10,1,0,5,2,9,7,0.56,72,34,38,0.47,56,25,5,18,812,0.9,4,14,14,6,0,10,0.6,5,46,1,18,18,5,1,26.6,8,4,14,1,0,0,,6,0,0,0,0,0,0,0.0,0,0,0,0.0,0.52,0.52,,,,,,,4,7,2,2,0.0,0
3,6/24/2026,18:00,Haiti,4,22,11,11,0,50%,15,7,0,0,6,11,18,0,0,0,69%,0.0,541,477,88%,34,17,0.5,22,7,0.32,1,0,3,15,5,3.76,3.76,3.37,0.39,3.82,1.74,1.57,0.17,4,2,43,36,120,159,45,12,3,3,2,22,25,278,285,10,18,0,0,9,1,12,10,0.55,122,66,56,0.54,100,54,16,29,749,0.88,5,14,14,8,0,20,0.4,8,41,7,17,14,5,5,7.8,10,11,28,0,2,1,0.0,9,0,0,0,0,0,0,0.0,0,0,0,0.0,0.67,0.67,0.49,0.49,1,1,0,0,2,3,2,2,-1.51,3
4,6/29/2026,21:00,Netherlands,1,11,5,6,1,45%,7,4,0,1,2,7,15,0,0,0,70%,0.0,879,801,91%,48,21,0.44,18,4,0.22,3,3,1,10,0,1.38,1.38,1.25,0.13,2.28,1.46,1.22,0.24,5,4,101,30,154,190,20,6,27,2,1,14,17,388,509,15,15,1,0,8,5,12,18,0.4,106,53,53,0.5,76,41,8,21,1088,0.91,2,34,34,14,0,19,0.74,11,51,2,19,26,4,2,13.3,15,2,23,0,1,1,0.01,6,0,0,1,0,0,0,0.0,0,5,0,0.0,0.24,0.24,0.16,0.16,0,0,0,0,2,5,3,3,-0.84,2
