Match Number,Date,Time (EST),Opponent,Goals,Shots,Shots on target,Shots off target,Shots on post,Shot Accuracy,Attempts inside box,Attempts outside box,Headed shots,Headed goals,Left footed shots,Right footed shots,Free kick shots,Free kick goals,Penalty kicks,Penalty kick goals,Possession,Possession time,Passes,Accurate passes,Pass Accuracy,Long balls,Accurate long balls,Long ball pct,Crosses,Accurate crosses,Cross pct,Through balls,Accurate through balls,Assists,Shot assists,Offsides,xG,xG non-penalty,xG open play,xG set play,xG on target,xA,xA open play,xA set play,Big chances created,Big chances missed,Final third entries,Penalty area entries,Successful final third passes,Total final third passes,Touches in opp box,Dispossessed,Unsuccessful touches,Fouled in final third,Total fastbreaks,Accurate throws,Total throws,Total back zone pass,Total fwd zone pass,Fouls committed,Fouls suffered,Yellow cards,Red cards,Corners won,Corners conceded,Aerials won,Aerials lost,Aerial duel pct,Duels,Duels won,Duels lost,Duel win pct,Ground duels,Ground duels won,Contests won,Total contests,Touches,Pass pct,Blocked shots,Effective clearances,Total clearances,Tackles won,Tackles lost,Total tackles,Tackle pct,Interceptions,Ball recoveries,Poss won att 3rd,Poss won mid 3rd,Poss won def 3rd,Attempts conceded inside box,Attempts conceded outside box,PPDA,FK fouls lost,Challenges lost,Defensive actions,Clean sheet,Goals conceded,Saves,Save pct,Shots faced,Crosses claimed,Unclaimed crosses,Punches,Smothers,PK faced,PK saved,PK save pct,PK conceded,Shootout kicks faced,Shootout saves,Shootout save pct,xG conceded,xG conceded non-pen,xG on target conceded,xG on target conceded non-pen,Accurate sweeper actions,Total sweeper actions,Good high claims,Total high claims,Accurate goal kicks,Goal kicks,Accurate keeper throws,Keeper throws,Goals prevented,Shots on goal against,ATK,DEF,EFF,AGG
3,6/14/2026,22:00,Sweden,1,6,2,4,0,33%,,,0,1,0,4,8,0,0,0,51%,0.0,371,292,79%,53,24,0.45,13,3,0.23,2,0,1,4,6,,,,,,,,,,,,,,,,,,,,,,,,8,8,1,0,2,4,,,,,,,,,,,,,0.79,1,13,13,12,0,21,0.57,6,,,,,,,,,,,0,5,1,0.0,13,1,0,0,0,0,0,0.0,0,0,0,0.0,,,,,,,,,,,,,,,18.0,34.7,37.7,10.4
3,6/21/2026,00:00,Japan,0,2,0,0,0,,1,1,0,0,1,1,15,0,0,0,38%,0.0,354,284,80%,56,16,0.29,10,2,0.2,0,0,0,1,1,0.05,0.05,0.03,0.05,,0.15,0.1,0.05,,,59,13,42,79,8,13,13,,,20,29,191,173,8,15,0,0,3,5,4,14,0.22,81,38,43,0.47,63,34,2,7,527,0.8,1,23,23,16,0,18,0.89,14,38,,13,23,8,3,24.2,8,4,18,0,4,1,0.0,11,0,0,1,0,0,0,0.0,0,0,0,0.0,2.13,2.13,2.73,2.73,,,,,3,4,,,-1.26,5,18.0,34.7,37.7,10.4
3,6/25/2026,19:00,Netherlands,1,10,4,6,0,40%,4,6,0,1,1,7,9,0,0,0,29%,0.0,258,199,77%,47,20,0.43,13,4,0.31,2,0,1,7,2,0.62,0.62,0.28,0.34,0.94,0.49,0.41,0.08,2,1,37,18,41,66,11,1,19,0,1,9,12,148,123,11,9,0,0,4,6,9,13,0.41,75,38,37,0.51,53,29,2,9,431,0.77,1,35,35,9,0,17,0.53,8,45,1,8,30,17,4,57.2,11,5,6,0,3,4,0.01,20,1,0,2,0,0,0,0.0,0,0,0,0.0,1.84,1.84,2.21,2.21,1,1,0,1,8,10,1,1,-0.79,7,18.0,34.7,37.7,10.4
