Match Number,Date,Time (EST),Opponent,Goals,Shots,Shots on target,Shots off target,Shots on post,Shot Accuracy,Attempts inside box,Attempts outside box,Headed shots,Headed goals,Left footed shots,Right footed shots,Free kick shots,Free kick goals,Penalty kicks,Penalty kick goals,Possession,Possession time,Passes,Accurate passes,Pass Accuracy,Long balls,Accurate long balls,Long ball pct,Crosses,Accurate crosses,Cross pct,Through balls,Accurate through balls,Assists,Shot assists,Offsides,xG,xG non-penalty,xG open play,xG set play,xG on target,xA,xA open play,xA set play,Big chances created,Big chances missed,Final third entries,Penalty area entries,Successful final third passes,Total final third passes,Touches in opp box,Dispossessed,Unsuccessful touches,Fouled in final third,Total fastbreaks,Accurate throws,Total throws,Total back zone pass,Total fwd zone pass,Fouls committed,Fouls suffered,Yellow cards,Red cards,Corners won,Corners conceded,Aerials won,Aerials lost,Aerial duel pct,Duels,Duels won,Duels lost,Duel win pct,Ground duels,Ground duels won,Contests won,Total contests,Touches,Pass pct,Blocked shots,Effective clearances,Total clearances,Tackles won,Tackles lost,Total tackles,Tackle pct,Interceptions,Ball recoveries,Poss won att 3rd,Poss won mid 3rd,Poss won def 3rd,Attempts conceded inside box,Attempts conceded outside box,PPDA,FK fouls lost,Challenges lost,Defensive actions,Clean sheet,Goals conceded,Saves,Save pct,Shots faced,Crosses claimed,Unclaimed crosses,Punches,Smothers,PK faced,PK saved,PK save pct,PK conceded,Shootout kicks faced,Shootout saves,Shootout save pct,xG conceded,xG conceded non-pen,xG on target conceded,xG on target conceded non-pen,Accurate sweeper actions,Total sweeper actions,Good high claims,Total high claims,Accurate goal kicks,Goal kicks,Accurate keeper throws,Keeper throws,Goals prevented,Shots on goal against,ATK,DEF,EFF,AGG
2,6/17/2026,16:00,Croatia,4,22,11,11,0,50%,20,2,0,1,2,14,12,0,1,0,52%,0.0,474,406,86%,41,15,0.37,13,6,0.46,5,2,3,15,0,3.2,2.41,1.38,1.03,3.33,1.1,0.88,0.22,4,5,40,25,49,81,37,4,12,2,1,14,15,304,183,10,12,0,0,8,2,12,16,0.43,82,40,42,0.49,54,28,7,14,637,0.86,5,16,16,7,0,9,0.78,7,47,2,21,16,4,6,13.2,10,5,26,0,2,3,0.01,10,2,0,2,0,0,0,0.0,0,0,0,0.0,0.7,0.7,0.51,0.51,2,2,2,2,6,6,6,6,-1.49,5,42.5,72.6,70.3,31.4
2,6/23/2026,16:00,Ghana,0,19,3,16,1,16%,14,5,0,0,7,5,24,0,0,0,79%,0.0,633,586,93%,26,14,0.54,30,7,0.23,1,0,0,14,2,1.36,1.36,0.96,0.39,0.37,1.49,1.37,0.12,1,2,88,43,173,204,33,12,11,6,0,22,22,203,460,14,24,1,0,9,2,18,8,0.69,108,61,47,0.56,82,43,7,17,813,0.93,6,6,6,7,0,14,0.5,1,33,3,9,20,2,0,6.6,14,4,23,1,0,0,,2,0,0,0,0,0,0,0.0,0,0,0,0.0,0.17,0.17,0.0,0.0,1,2,0,0,1,1,1,1,0.0,0,42.5,72.6,70.3,31.4
3,6/27/2026,17:00,Panama,2,17,6,11,0,35%,12,5,0,1,6,8,16,0,0,0,67%,0.0,558,490,88%,36,20,0.56,25,4,0.16,10,6,2,12,4,1.56,1.56,1.39,0.17,2.01,2.07,1.98,0.09,3,2,68,42,139,182,39,8,8,1,2,13,14,212,371,13,16,1,0,7,3,17,11,0.61,104,61,43,0.59,76,44,10,18,750,0.88,3,20,20,17,0,18,0.94,5,49,7,17,23,8,5,6.7,13,6,38,1,0,2,0.01,13,1,0,1,0,0,0,0.0,0,0,0,0.0,0.66,0.66,0.21,0.21,2,2,0,1,7,8,1,1,0.21,2,42.5,72.6,70.3,31.4
4,7/1/2026,12:00,DR Congo,2,16,7,9,0,44%,13,3,0,1,5,6,12,0,0,0,60%,0.0,517,468,91%,33,19,0.58,43,9,0.21,4,2,2,14,0,2.16,2.16,2.1,0.06,2.44,2.08,1.95,0.13,7,6,77,49,169,200,40,10,13,4,1,14,15,156,404,10,12,1,0,5,3,14,9,0.61,89,44,45,0.49,66,30,7,17,726,0.91,3,23,23,6,0,11,0.55,7,44,5,15,19,2,5,11.1,10,6,27,0,1,1,0.01,7,0,0,0,0,0,0,0.0,0,0,0,0.0,0.77,0.77,0.3,0.3,1,1,0,0,3,5,5,5,-0.69,2,42.5,72.6,70.3,31.4
5,7/5/2026,21:00,Mexico,3,6,5,1,1,83%,4,2,0,1,1,4,13,0,1,0,33%,0.0,244,195,80%,44,21,0.48,4,1,0.25,2,1,2,4,0,1.61,0.82,0.77,0.06,2.98,1.32,1.31,0.0,2,0,38,12,29,59,14,6,19,1,1,6,12,134,114,7,13,4,1,2,12,11,11,0.5,89,51,38,0.57,67,40,9,19,448,0.8,0,49,49,9,0,18,0.5,4,30,1,7,14,12,8,17.4,7,5,15,0,2,3,0.01,20,2,0,5,0,0,0,0.0,0,0,0,0.0,1.88,1.09,1.82,1.08,0,0,1,2,9,13,5,5,-0.18,5,42.5,72.6,70.3,31.4
6,7/11/2026,17:00,Norway,2,14,8,6,0,57%,8,6,0,0,3,9,10,0,0,0,52%,0.0,628,568,90%,50,26,0.52,21,9,0.43,4,0,1,8,5,1.04,1.04,0.45,0.59,2.63,0.84,0.81,0.04,1,1,72,23,139,166,31,13,17,3,1,24,27,235,414,8,10,0,0,4,7,12,13,0.48,102,53,49,0.52,77,41,16,27,871,0.9,3,35,35,9,0,15,0.6,6,44,2,20,13,10,3,19.2,8,6,21,0,1,3,0.01,13,0,0,2,0,0,0,0.0,0,0,0,0.0,0.68,0.68,0.42,0.42,1,1,0,0,5,7,8,8,-0.58,4,42.5,72.6,70.3,31.4
