Match Number,Date,Time (EST),Opponent,Goals,Shots,Shots on target,Shots off target,Shots on post,Shot Accuracy,Attempts inside box,Attempts outside box,Headed shots,Headed goals,Left footed shots,Right footed shots,Free kick shots,Free kick goals,Penalty kicks,Penalty kick goals,Possession,Possession time,Passes,Accurate passes,Pass Accuracy,Long balls,Accurate long balls,Long ball pct,Crosses,Accurate crosses,Cross pct,Through balls,Accurate through balls,Assists,Shot assists,Offsides,xG,xG non-penalty,xG open play,xG set play,xG on target,xA,xA open play,xA set play,Big chances created,Big chances missed,Final third entries,Penalty area entries,Successful final third passes,Total final third passes,Touches in opp box,Dispossessed,Unsuccessful touches,Fouled in final third,Total fastbreaks,Accurate throws,Total throws,Total back zone pass,Total fwd zone pass,Fouls committed,Fouls suffered,Yellow cards,Red cards,Corners won,Corners conceded,Aerials won,Aerials lost,Aerial duel pct,Duels,Duels won,Duels lost,Duel win pct,Ground duels,Ground duels won,Contests won,Total contests,Touches,Pass pct,Blocked shots,Effective clearances,Total clearances,Tackles won,Tackles lost,Total tackles,Tackle pct,Interceptions,Ball recoveries,Poss won att 3rd,Poss won mid 3rd,Poss won def 3rd,Attempts conceded inside box,Attempts conceded outside box,PPDA,FK fouls lost,Challenges lost,Defensive actions,Clean sheet,Goals conceded,Saves,Save pct,Shots faced,Crosses claimed,Unclaimed crosses,Punches,Smothers,PK faced,PK saved,PK save pct,PK conceded,Shootout kicks faced,Shootout saves,Shootout save pct,xG conceded,xG conceded non-pen,xG on target conceded,xG on target conceded non-pen,Accurate sweeper actions,Total sweeper actions,Good high claims,Total high claims,Accurate goal kicks,Goal kicks,Accurate keeper throws,Keeper throws,Goals prevented,Shots on goal against,ATK,DEF,EFF,AGG
3,6/14/2026,22:00,Tunisia,5,13,7,6,0,54%,,,0,0,1,11,8,0,0,0,49%,0.0,356,278,78%,58,22,0.38,12,3,0.25,1,0,4,11,3,,,,,,,,,,,,,,,,,,,,,,,,10,8,0,0,4,2,,,,,,,,,,,,,0.78,3,23,23,9,0,14,0.64,6,,,,,,,,,,,0,1,1,0.01,6,1,0,0,0,0,0,0.0,0,0,0,0.0,,,,,,,,,,,,,,,38.6,47.2,72.1,24.7
3,6/20/2026,13:00,Netherlands,1,16,8,8,0,50%,7,9,0,0,3,12,9,0,0,0,49%,0.0,425,361,85%,30,6,0.2,21,3,0.14,2,1,1,15,3,1.01,1.01,0.7,0.31,1.71,0.77,0.7,0.07,2,1,36,28,87,107,26,10,13,3,3,14,22,232,214,12,9,3,0,5,2,13,14,0.48,89,46,43,0.52,62,33,7,12,594,0.85,3,14,14,9,0,18,0.5,5,36,,14,17,6,4,18.5,12,3,18,0,5,2,0.0,10,0,0,0,0,0,0,0.0,0,0,0,0.0,2.61,2.61,4.2,4.2,,,,,9,11,3,3,-0.8,7,38.6,47.2,72.1,24.7
3,6/25/2026,19:00,Japan,1,11,5,6,0,45%,6,5,0,0,4,3,19,0,0,0,48%,0.0,395,312,79%,50,18,0.36,16,4,0.25,0,0,1,8,2,0.64,0.64,0.21,0.44,1.16,0.71,0.29,0.42,1,1,51,30,73,120,13,7,18,4,0,13,18,178,233,11,19,2,0,8,2,15,17,0.47,91,44,47,0.48,59,29,4,10,568,0.79,3,21,21,3,0,7,0.43,5,39,5,11,15,4,4,21.6,11,6,16,0,1,2,0.01,8,1,0,1,0,0,0,0.0,0,0,0,0.0,1.21,1.21,1.27,1.27,0,0,1,1,0,4,8,8,0.27,3,38.6,47.2,72.1,24.7
4,6/30/2026,17:00,France,0,8,3,5,0,38%,7,1,0,0,0,6,13,0,0,0,39%,0.0,351,279,79%,44,11,0.25,10,3,0.3,3,2,0,5,1,0.66,0.66,0.46,0.2,0.63,0.45,0.35,0.11,0,0,49,27,64,106,15,9,10,0,0,10,19,172,189,10,13,0,0,1,9,7,13,0.35,87,41,46,0.47,67,34,7,11,519,0.8,1,26,26,8,0,14,0.57,12,35,4,11,11,16,9,17.8,10,11,18,0,3,9,0.01,25,1,0,0,0,0,0,0.0,0,0,0,0.0,3.17,3.17,4.16,4.16,2,2,1,1,3,8,6,6,1.16,12,38.6,47.2,72.1,24.7
