Match Number,Date,Time (EST),Opponent,Goals,Shots,Shots on target,Shots off target,Shots on post,Shot Accuracy,Attempts inside box,Attempts outside box,Headed shots,Headed goals,Left footed shots,Right footed shots,Free kick shots,Free kick goals,Penalty kicks,Penalty kick goals,Possession,Possession time,Passes,Accurate passes,Pass Accuracy,Long balls,Accurate long balls,Long ball pct,Crosses,Accurate crosses,Cross pct,Through balls,Accurate through balls,Assists,Shot assists,Offsides,xG,xG non-penalty,xG open play,xG set play,xG on target,xA,xA open play,xA set play,Big chances created,Big chances missed,Final third entries,Penalty area entries,Successful final third passes,Total final third passes,Touches in opp box,Dispossessed,Unsuccessful touches,Fouled in final third,Total fastbreaks,Accurate throws,Total throws,Total back zone pass,Total fwd zone pass,Fouls committed,Fouls suffered,Yellow cards,Red cards,Corners won,Corners conceded,Aerials won,Aerials lost,Aerial duel pct,Duels,Duels won,Duels lost,Duel win pct,Ground duels,Ground duels won,Contests won,Total contests,Touches,Pass pct,Blocked shots,Effective clearances,Total clearances,Tackles won,Tackles lost,Total tackles,Tackle pct,Interceptions,Ball recoveries,Poss won att 3rd,Poss won mid 3rd,Poss won def 3rd,Attempts conceded inside box,Attempts conceded outside box,PPDA,FK fouls lost,Challenges lost,Defensive actions,Clean sheet,Goals conceded,Saves,Save pct,Shots faced,Crosses claimed,Unclaimed crosses,Punches,Smothers,PK faced,PK saved,PK save pct,PK conceded,Shootout kicks faced,Shootout saves,Shootout save pct,xG conceded,xG conceded non-pen,xG on target conceded,xG on target conceded non-pen,Accurate sweeper actions,Total sweeper actions,Good high claims,Total high claims,Accurate goal kicks,Goal kicks,Accurate keeper throws,Keeper throws,Goals prevented,Shots on goal against
3,6/14/2026,16:00,Netherlands,2,10,3,7,0,30%,6,4,0,1,2,5,7,0,0,0,40%,0.0,341,286,84%,36,13,0.36,23,6,0.26,1,1,2,10,0,0.59,0.59,0.4,0.18,1.32,0.58,0.55,0.04,,,49,31,80,113,19,5,11,2,,16,19,127,237,7,7,0,0,4,5,7,21,0.25,74,28,46,0.38,46,21,3,9,502,0.84,1,32,32,10,0,11,0.91,4,26,,9,11,10,,23.7,7,8,13,0,2,4,0.01,10,0,0,0,0,0,0,0.0,0,0,0,0.0,0.79,0.79,2.16,2.16,,,,,6,7,4,4,0.16,6
3,6/21/2026,00:00,Tunisia,4,11,5,6,0,45%,8,3,0,1,2,8,8,0,0,0,62%,0.0,583,521,89%,32,18,0.56,11,2,0.18,2,1,4,9,1,2.13,2.13,1.91,0.22,2.73,1.42,1.41,0.0,3,2,70,26,95,135,17,7,13,1,3,20,23,253,341,15,8,0,0,5,3,14,4,0.78,81,43,38,0.53,63,29,4,15,751,0.89,3,25,25,12,0,18,0.67,7,35,2,17,13,1,1,9.4,15,2,32,1,0,0,,2,2,0,0,0,0,0,0.0,0,0,0,0.0,0.05,0.05,,,1,1,1,2,5,5,3,3,0.0,0
3,6/25/2026,19:00,Sweden,1,8,3,5,0,38%,4,4,0,0,2,5,11,0,0,0,52%,0.0,445,378,85%,49,18,0.37,13,4,0.31,4,1,1,8,3,1.21,1.21,1.21,0.0,1.27,0.69,0.69,0.0,2,1,51,26,68,100,11,3,15,1,0,9,14,206,252,20,11,1,0,2,8,17,15,0.53,91,47,44,0.52,59,30,6,10,615,0.85,2,40,40,7,0,13,0.54,4,42,2,23,13,6,5,11.1,20,4,27,0,1,4,0.01,11,1,0,4,0,0,0,0.0,0,0,0,0.0,0.64,0.64,1.16,1.16,0,0,1,1,5,6,1,1,0.16,5
4,6/29/2026,13:00,Brazil,1,5,2,3,0,40%,2,3,0,0,1,3,4,0,0,0,31%,0.0,313,260,83%,45,24,0.53,11,2,0.18,0,0,0,3,0,0.33,0.33,0.18,0.14,0.78,0.23,0.17,0.06,0,0,44,13,55,79,10,9,18,1,1,14,16,165,159,13,4,3,0,2,6,15,13,0.54,75,34,41,0.45,47,19,5,8,493,0.83,2,45,45,4,0,10,0.4,6,33,1,8,14,12,7,20.4,13,6,18,0,2,4,0.01,19,4,0,2,0,0,0,0.0,0,0,0,0.0,2.07,2.07,1.45,1.45,2,2,4,4,8,10,8,8,-0.55,6
