Match Number,Date,Time (EST),Opponent,Goals,Shots,Shots on target,Shots off target,Shots on post,Shot Accuracy,Attempts inside box,Attempts outside box,Headed shots,Headed goals,Left footed shots,Right footed shots,Free kick shots,Free kick goals,Penalty kicks,Penalty kick goals,Possession,Possession time,Passes,Accurate passes,Pass Accuracy,Long balls,Accurate long balls,Long ball pct,Crosses,Accurate crosses,Cross pct,Through balls,Accurate through balls,Assists,Shot assists,Offsides,xG,xG non-penalty,xG open play,xG set play,xG on target,xA,xA open play,xA set play,Big chances created,Big chances missed,Final third entries,Penalty area entries,Successful final third passes,Total final third passes,Touches in opp box,Dispossessed,Unsuccessful touches,Fouled in final third,Total fastbreaks,Accurate throws,Total throws,Total back zone pass,Total fwd zone pass,Fouls committed,Fouls suffered,Yellow cards,Red cards,Corners won,Corners conceded,Aerials won,Aerials lost,Aerial duel pct,Duels,Duels won,Duels lost,Duel win pct,Ground duels,Ground duels won,Contests won,Total contests,Touches,Pass pct,Blocked shots,Effective clearances,Total clearances,Tackles won,Tackles lost,Total tackles,Tackle pct,Interceptions,Ball recoveries,Poss won att 3rd,Poss won mid 3rd,Poss won def 3rd,Attempts conceded inside box,Attempts conceded outside box,PPDA,FK fouls lost,Challenges lost,Defensive actions,Clean sheet,Goals conceded,Saves,Save pct,Shots faced,Crosses claimed,Unclaimed crosses,Punches,Smothers,PK faced,PK saved,PK save pct,PK conceded,Shootout kicks faced,Shootout saves,Shootout save pct,xG conceded,xG conceded non-pen,xG on target conceded,xG on target conceded non-pen,Accurate sweeper actions,Total sweeper actions,Good high claims,Total high claims,Accurate goal kicks,Goal kicks,Accurate keeper throws,Keeper throws,Goals prevented,Shots on goal against,ATK,DEF,EFF,AGG
3,6/12/2026,15:00,Canada,1,8,3,5,0,38%,5,3,0,1,0,4,10,0,0,0,39%,0.0,271,172,63%,62,17,0.27,10,6,0.6,1,0,1,5,0,0.96,0.96,0.02,0.95,1.0,0.86,0.6,0.25,1,1,59,18,35,77,15,6,15,,,17,26,113,168,20,10,3,0,4,9,43,21,0.67,150,79,71,0.53,86,36,6,23,524,0.64,1,70,70,12,0,20,0.6,11,53,4,21,19,10,3,8.5,20,7,32,0,1,1,0.01,13,3,0,1,0,0,0,0.0,0,0,0,0.0,1.23,1.23,0.75,0.75,,,3,3,3,9,3,3,-0.25,2,31.0,57.8,68.6,30.1
3,6/18/2026,15:00,Switzerland,1,5,3,2,0,60%,3,2,0,0,2,3,7,0,0,0,38%,0.0,354,287,81%,48,13,0.27,12,1,0.0,0,0,0,3,1,0.23,0.23,0.12,0.11,0.27,0.31,0.31,0.0,,,36,17,42,72,8,13,7,2,,5,8,207,159,18,7,2,1,3,7,12,10,0.55,90,38,52,0.42,68,26,6,12,523,0.81,1,36,36,3,0,13,0.23,11,49,3,15,23,9,4,11.9,18,6,32,0,4,3,0.0,13,0,0,1,0,0,0,0.0,0,0,0,0.0,2.06,1.27,2.46,1.53,1,1,,,8,8,4,4,-1.54,7,31.0,57.8,68.6,30.1
3,6/24/2026,15:00,Qatar,3,14,5,9,1,36%,4,10,0,0,9,4,14,0,0,0,54%,0.0,515,452,88%,50,30,0.6,22,3,0.14,4,2,2,11,1,0.68,0.68,0.38,0.3,0.96,1.05,0.93,0.12,1,1,45,23,69,98,20,8,9,4,0,11,12,291,246,9,14,1,0,5,5,10,4,0.71,70,42,28,0.6,56,32,8,13,670,0.88,5,22,22,9,0,10,0.9,4,40,2,17,12,5,4,18.2,9,3,19,0,1,2,0.01,9,0,0,0,0,0,0,0.0,0,0,0,0.0,0.77,0.77,1.14,1.14,0,0,0,0,6,8,3,4,0.14,3,31.0,57.8,68.6,30.1
