Match Number,Date,Time (EST),Opponent,Goals,Shots,Shots on target,Shots off target,Shots on post,Shot Accuracy,Attempts inside box,Attempts outside box,Headed shots,Headed goals,Left footed shots,Right footed shots,Free kick shots,Free kick goals,Penalty kicks,Penalty kick goals,Possession,Possession time,Passes,Accurate passes,Pass Accuracy,Long balls,Accurate long balls,Long ball pct,Crosses,Accurate crosses,Cross pct,Through balls,Accurate through balls,Assists,Shot assists,Offsides,xG,xG non-penalty,xG open play,xG set play,xG on target,xA,xA open play,xA set play,Big chances created,Big chances missed,Final third entries,Penalty area entries,Successful final third passes,Total final third passes,Touches in opp box,Dispossessed,Unsuccessful touches,Fouled in final third,Total fastbreaks,Accurate throws,Total throws,Total back zone pass,Total fwd zone pass,Fouls committed,Fouls suffered,Yellow cards,Red cards,Corners won,Corners conceded,Aerials won,Aerials lost,Aerial duel pct,Duels,Duels won,Duels lost,Duel win pct,Ground duels,Ground duels won,Contests won,Total contests,Touches,Pass pct,Blocked shots,Effective clearances,Total clearances,Tackles won,Tackles lost,Total tackles,Tackle pct,Interceptions,Ball recoveries,Poss won att 3rd,Poss won mid 3rd,Poss won def 3rd,Attempts conceded inside box,Attempts conceded outside box,PPDA,FK fouls lost,Challenges lost,Defensive actions,Clean sheet,Goals conceded,Saves,Save pct,Shots faced,Crosses claimed,Unclaimed crosses,Punches,Smothers,PK faced,PK saved,PK save pct,PK conceded,Shootout kicks faced,Shootout saves,Shootout save pct,xG conceded,xG conceded non-pen,xG on target conceded,xG on target conceded non-pen,Accurate sweeper actions,Total sweeper actions,Good high claims,Total high claims,Accurate goal kicks,Goal kicks,Accurate keeper throws,Keeper throws,Goals prevented,Shots on goal against,ATK,DEF,EFF,AGG
2,6/15/2026,15:00,Belgium,1,14,3,11,0,21%,10,4,0,0,2,11,14,0,0,0,46%,0.0,398,323,81%,53,20,0.38,13,2,0.15,2,0,1,10,1,1.08,1.08,0.99,0.09,0.61,0.4,0.39,0.01,1,2,37,25,62,91,27,10,20,,1,18,19,228,183,15,14,2,0,7,2,9,14,0.39,117,59,58,0.5,94,50,8,15,599,0.81,7,17,17,17,0,28,0.61,16,46,5,13,22,10,6,10.1,15,12,26,0,1,3,0.01,15,1,0,1,0,0,0,0.0,0,0,0,0.0,1.35,1.35,0.64,0.64,,,1,1,11,12,2,2,-0.36,4,26.9,67.8,52.1,34.3
2,6/21/2026,21:00,New Zealand,3,19,7,12,0,37%,12,7,0,2,7,9,13,0,0,0,56%,0.0,526,460,87%,48,22,0.46,22,7,0.32,1,0,3,16,0,1.87,1.87,1.65,0.23,2.55,1.43,1.36,0.07,2,2,73,39,135,166,36,7,20,5,1,22,23,214,334,8,13,1,0,4,4,20,16,0.56,97,54,43,0.56,61,34,7,12,747,0.88,6,37,37,13,0,16,0.81,6,56,3,24,24,6,5,11.9,8,7,29,0,1,4,0.01,11,2,0,3,0,0,0,0.0,0,0,0,0.0,1.24,1.24,1.62,1.62,1,1,2,2,2,3,2,2,0.62,5,26.9,67.8,52.1,34.3
3,6/26/2026,23:00,Iran,1,15,3,12,0,20%,8,7,0,0,4,9,15,0,0,0,61%,0.0,589,513,87%,44,18,0.41,15,4,0.27,2,0,1,10,0,0.84,0.84,0.56,0.29,0.47,1.29,1.05,0.24,0,0,61,34,91,130,28,10,22,2,1,14,14,288,316,11,15,3,0,8,2,23,31,0.43,134,63,71,0.47,80,40,10,22,793,0.87,6,38,38,10,0,17,0.59,7,39,1,23,14,10,3,15.0,11,8,20,0,1,2,0.01,13,0,0,3,0,0,1,0.0,0,0,0,0.0,1.97,1.18,1.23,0.38,1,1,0,0,8,9,1,1,0.23,3,26.9,67.8,52.1,34.3
4,7/3/2026,14:00,Australia,1,14,3,11,0,21%,8,6,0,1,3,9,12,0,0,0,58%,0.0,722,613,85%,77,36,0.47,24,6,0.25,0,0,1,11,3,1.32,1.32,0.96,0.36,1.14,1.26,1.24,0.01,3,2,74,36,131,180,30,3,16,2,1,19,19,348,398,14,12,2,0,7,4,27,30,0.47,126,62,64,0.49,69,35,9,16,950,0.85,6,37,37,7,0,15,0.47,8,41,2,11,20,12,5,23.3,14,11,17,0,1,1,0.01,16,0,0,1,0,0,0,0.0,0,4,0,0.0,0.84,0.84,0.07,0.07,1,1,0,0,10,12,6,6,-0.94,2,26.9,67.8,52.1,34.3
5,7/7/2026,12:00,Argentina,2,5,2,3,0,40%,4,1,0,1,1,3,13,0,0,0,36%,0.0,349,287,82%,37,13,0.35,8,2,0.25,1,1,2,4,0,0.89,0.89,0.78,0.1,1.22,0.78,0.78,0.0,2,0,27,9,36,53,8,5,8,1,2,24,25,213,144,11,13,4,0,1,6,7,8,0.47,97,47,50,0.48,82,40,11,26,547,0.82,1,44,44,7,0,16,0.44,9,36,3,12,15,11,8,22.9,11,11,14,0,3,4,0.01,19,1,0,3,0,0,1,0.0,0,0,0,0.0,2.84,2.06,2.66,2.02,1,1,1,1,11,13,2,3,-0.34,7,26.9,67.8,52.1,34.3
