Match Number,Date,Time (EST),Opponent,Goals,Shots,Shots on target,Shots off target,Shots on post,Shot Accuracy,Attempts inside box,Attempts outside box,Headed shots,Headed goals,Left footed shots,Right footed shots,Free kick shots,Free kick goals,Penalty kicks,Penalty kick goals,Possession,Possession time,Passes,Accurate passes,Pass Accuracy,Long balls,Accurate long balls,Long ball pct,Crosses,Accurate crosses,Cross pct,Through balls,Accurate through balls,Assists,Shot assists,Offsides,xG,xG non-penalty,xG open play,xG set play,xG on target,xA,xA open play,xA set play,Big chances created,Big chances missed,Final third entries,Penalty area entries,Successful final third passes,Total final third passes,Touches in opp box,Dispossessed,Unsuccessful touches,Fouled in final third,Total fastbreaks,Accurate throws,Total throws,Total back zone pass,Total fwd zone pass,Fouls committed,Fouls suffered,Yellow cards,Red cards,Corners won,Corners conceded,Aerials won,Aerials lost,Aerial duel pct,Duels,Duels won,Duels lost,Duel win pct,Ground duels,Ground duels won,Contests won,Total contests,Touches,Pass pct,Blocked shots,Effective clearances,Total clearances,Tackles won,Tackles lost,Total tackles,Tackle pct,Interceptions,Ball recoveries,Poss won att 3rd,Poss won mid 3rd,Poss won def 3rd,Attempts conceded inside box,Attempts conceded outside box,PPDA,FK fouls lost,Challenges lost,Defensive actions,Clean sheet,Goals conceded,Saves,Save pct,Shots faced,Crosses claimed,Unclaimed crosses,Punches,Smothers,PK faced,PK saved,PK save pct,PK conceded,Shootout kicks faced,Shootout saves,Shootout save pct,xG conceded,xG conceded non-pen,xG on target conceded,xG on target conceded non-pen,Accurate sweeper actions,Total sweeper actions,Good high claims,Total high claims,Accurate goal kicks,Goal kicks,Accurate keeper throws,Keeper throws,Goals prevented,Shots on goal against
2,6/17/2026,19:00,Panama,1,7,2,5,0,29%,6,1,0,0,2,2,11,0,0,0,38%,0.0,352,292,83%,52,30,0.58,16,4,0.25,0,0,1,5,4,1.25,1.25,1.07,0.18,1.04,0.45,0.27,0.18,1,,62,15,55,80,14,14,20,3,2,17,21,165,203,9,11,1,0,2,2,21,13,0.62,113,56,57,0.5,79,35,9,24,562,0.83,1,28,28,9,0,16,0.56,8,50,2,16,24,6,5,25.3,9,6,19,1,0,4,0.01,11,2,0,2,0,0,0,0.0,0,0,0,0.0,0.73,0.73,1.36,1.36,1,1,2,2,6,10,4,4,1.36,4
2,6/23/2026,16:00,England,0,2,1,1,0,50%,2,0,0,0,1,1,13,0,0,0,21%,0.0,172,127,74%,57,24,0.42,5,0,0.0,2,1,0,1,2,0.17,0.17,0.17,0.0,0.0,0.2,0.2,0.01,0,1,40,9,22,48,10,8,14,0,1,8,9,91,86,24,13,1,0,2,9,8,18,0.31,108,47,61,0.44,82,39,4,10,342,0.74,1,39,39,17,0,22,0.77,8,28,2,5,18,14,5,17.1,24,7,20,1,0,3,0.01,19,0,0,1,0,0,0,0.0,0,0,0,0.0,1.36,1.36,0.37,0.37,0,0,0,0,8,12,1,1,0.37,3
3,6/27/2026,17:00,Croatia,1,6,1,5,0,17%,3,3,0,0,4,2,9,0,0,0,47%,0.0,455,402,88%,39,18,0.46,12,3,0.25,1,0,1,6,2,0.64,0.64,0.08,0.55,0.96,0.49,0.12,0.37,2,1,60,10,45,82,9,4,15,1,0,8,10,258,209,13,9,1,0,2,3,9,8,0.53,80,38,42,0.47,63,29,8,18,598,0.88,2,11,11,7,0,13,0.54,9,38,2,15,13,3,5,22.1,13,7,19,0,2,2,0.01,8,2,0,0,0,0,0,0.0,0,0,0,0.0,0.42,0.42,0.87,0.87,0,0,2,2,5,5,7,7,-1.13,4
4,7/3/2026,21:30,Colombia,0,8,0,0,0,,2,6,0,0,3,5,14,0,0,0,39%,0.0,376,312,83%,46,9,0.2,15,2,0.13,0,0,0,5,0,0.27,0.27,0.24,0.02,0.0,0.15,0.15,0.0,0,0,52,25,47,86,8,7,25,0,0,14,16,191,200,10,14,3,0,2,3,4,8,0.33,72,37,35,0.51,60,33,6,11,529,0.83,5,11,11,7,0,13,0.54,5,42,1,15,20,12,8,23.7,10,5,19,0,1,7,0.01,20,0,0,1,0,0,0,0.0,0,0,0,0.0,2.04,2.04,2.69,2.69,0,0,0,0,10,12,2,2,1.69,8
