Match Number,Date,Time (EST),Opponent,Goals,Shots,Shots on target,Shots off target,Shots on post,Shot Accuracy,Attempts inside box,Attempts outside box,Headed shots,Headed goals,Left footed shots,Right footed shots,Free kick shots,Free kick goals,Penalty kicks,Penalty kick goals,Possession,Possession time,Passes,Accurate passes,Pass Accuracy,Long balls,Accurate long balls,Long ball pct,Crosses,Accurate crosses,Cross pct,Through balls,Accurate through balls,Assists,Shot assists,Offsides,xG,xG non-penalty,xG open play,xG set play,xG on target,xA,xA open play,xA set play,Big chances created,Big chances missed,Final third entries,Penalty area entries,Successful final third passes,Total final third passes,Touches in opp box,Dispossessed,Unsuccessful touches,Fouled in final third,Total fastbreaks,Accurate throws,Total throws,Total back zone pass,Total fwd zone pass,Fouls committed,Fouls suffered,Yellow cards,Red cards,Corners won,Corners conceded,Aerials won,Aerials lost,Aerial duel pct,Duels,Duels won,Duels lost,Duel win pct,Ground duels,Ground duels won,Contests won,Total contests,Touches,Pass pct,Blocked shots,Effective clearances,Total clearances,Tackles won,Tackles lost,Total tackles,Tackle pct,Interceptions,Ball recoveries,Poss won att 3rd,Poss won mid 3rd,Poss won def 3rd,Attempts conceded inside box,Attempts conceded outside box,PPDA,FK fouls lost,Challenges lost,Defensive actions,Clean sheet,Goals conceded,Saves,Save pct,Shots faced,Crosses claimed,Unclaimed crosses,Punches,Smothers,PK faced,PK saved,PK save pct,PK conceded,Shootout kicks faced,Shootout saves,Shootout save pct,xG conceded,xG conceded non-pen,xG on target conceded,xG on target conceded non-pen,Accurate sweeper actions,Total sweeper actions,Good high claims,Total high claims,Accurate goal kicks,Goal kicks,Accurate keeper throws,Keeper throws,Goals prevented,Shots on goal against
3,6/14/2026,13:00,Curacao,7,26,12,14,0,46%,21,5,0,1,8,15,10,0,1,0,65%,0.0,637,554,87%,25,12,0.48,12,5,0.42,8,6,6,21,0,4.22,3.43,2.99,0.44,5.24,3.48,3.1,0.38,5,2,79,39,182,237,63,7,14,5,2,15,17,210,439,18,10,0,0,8,1,9,5,0.64,97,47,50,0.48,83,38,9,18,812,0.87,8,8,8,13,0,19,0.68,12,52,6,21,22,4,4,6.1,18,12,47,0,1,1,0.01,8,0,0,0,0,0,0,0.0,0,0,0,0.0,0.41,0.41,0.5,0.5,2,2,,,7,7,1,2,-0.5,2
3,6/20/2026,16:00,Ivory Coast,2,16,7,9,0,44%,9,7,0,0,6,8,6,0,0,0,60%,0.0,624,555,89%,31,18,0.58,21,5,0.24,3,1,2,14,0,1.89,1.89,1.8,0.09,2.36,1.95,1.91,0.04,5,3,79,44,176,221,33,10,21,1,,17,18,216,429,5,6,0,0,8,3,10,10,0.5,102,48,54,0.47,82,38,6,16,815,0.89,4,14,14,17,0,26,0.65,8,51,6,20,20,6,3,8.8,5,20,40,0,1,1,0.01,9,0,0,0,0,0,0,0.0,0,0,0,0.0,1.22,1.22,1.1,1.1,1,1,,,4,4,5,5,0.1,2
3,6/25/2026,16:00,Ecuador,1,11,3,8,0,27%,6,5,0,0,5,5,14,0,0,0,61%,0.0,592,517,87%,37,17,0.46,16,5,0.31,2,0,1,9,0,0.65,0.65,0.53,0.12,0.94,0.67,0.63,0.04,2,1,77,22,111,152,20,11,14,4,2,14,21,263,345,10,14,1,0,2,3,11,9,0.55,106,52,54,0.49,86,41,7,22,791,0.87,5,15,15,13,0,20,0.65,4,50,2,14,25,5,2,11.2,10,9,22,0,2,1,0.0,7,0,0,1,0,0,0,0.0,0,0,0,0.0,1.27,1.27,1.63,1.63,0,1,0,0,2,2,8,9,-0.37,3
4,6/29/2026,16:30,Paraguay,1,21,6,15,0,29%,11,10,0,1,5,10,12,0,0,0,75%,0.0,799,719,90%,39,26,0.67,56,10,0.18,0,0,1,10,4,1.49,1.49,1.06,0.43,1.59,1.71,1.25,0.47,2,2,127,78,255,314,41,13,17,6,0,22,23,209,646,18,12,2,0,16,6,21,19,0.53,136,60,76,0.44,96,39,13,33,1077,0.9,8,23,23,10,0,14,0.71,4,77,10,29,27,6,1,5.9,18,8,35,0,1,2,0.01,7,0,0,1,0,0,0,0.0,0,6,0,0.0,0.42,0.42,0.51,0.51,1,1,0,0,5,5,10,10,-0.49,3
