Match Number,Date,Time (EST),Opponent,Goals,Shots,Shots on target,Shots off target,Shots on post,Shot Accuracy,Attempts inside box,Attempts outside box,Headed shots,Headed goals,Left footed shots,Right footed shots,Free kick shots,Free kick goals,Penalty kicks,Penalty kick goals,Possession,Possession time,Passes,Accurate passes,Pass Accuracy,Long balls,Accurate long balls,Long ball pct,Crosses,Accurate crosses,Cross pct,Through balls,Accurate through balls,Assists,Shot assists,Offsides,xG,xG non-penalty,xG open play,xG set play,xG on target,xA,xA open play,xA set play,Big chances created,Big chances missed,Final third entries,Penalty area entries,Successful final third passes,Total final third passes,Touches in opp box,Dispossessed,Unsuccessful touches,Fouled in final third,Total fastbreaks,Accurate throws,Total throws,Total back zone pass,Total fwd zone pass,Fouls committed,Fouls suffered,Yellow cards,Red cards,Corners won,Corners conceded,Aerials won,Aerials lost,Aerial duel pct,Duels,Duels won,Duels lost,Duel win pct,Ground duels,Ground duels won,Contests won,Total contests,Touches,Pass pct,Blocked shots,Effective clearances,Total clearances,Tackles won,Tackles lost,Total tackles,Tackle pct,Interceptions,Ball recoveries,Poss won att 3rd,Poss won mid 3rd,Poss won def 3rd,Attempts conceded inside box,Attempts conceded outside box,PPDA,FK fouls lost,Challenges lost,Defensive actions,Clean sheet,Goals conceded,Saves,Save pct,Shots faced,Crosses claimed,Unclaimed crosses,Punches,Smothers,PK faced,PK saved,PK save pct,PK conceded,Shootout kicks faced,Shootout saves,Shootout save pct,xG conceded,xG conceded non-pen,xG on target conceded,xG on target conceded non-pen,Accurate sweeper actions,Total sweeper actions,Good high claims,Total high claims,Accurate goal kicks,Goal kicks,Accurate keeper throws,Keeper throws,Goals prevented,Shots on goal against
4,6/14/2026,19:00,Ivory Coast,0,12,1,11,3,8%,5,7,0,0,6,4,9,0,0,0,52%,0.0,492,419,85%,36,11,0.31,14,4,0.29,3,2,0,9,0,1.01,1.01,0.65,0.36,0.03,1.28,0.8,0.48,1,1,56,25,72,110,16,7,16,2,,11,14,276,230,13,9,1,0,6,3,11,17,0.39,102,44,58,0.43,74,33,3,10,668,0.85,3,18,18,15,0,21,0.71,13,51,3,24,18,8,7,8.6,13,14,41,0,1,3,0.01,15,0,0,0,0,0,0,0.0,0,0,0,0.0,1.52,1.52,1.22,1.22,,,,,9,11,6,6,0.22,4
4,6/20/2026,20:00,Curacao,0,27,15,12,1,56%,21,6,0,0,7,12,9,0,0,0,75%,0.0,644,581,90%,34,14,0.41,33,11,0.33,3,1,0,23,1,2.84,2.84,1.57,1.27,2.27,1.55,1.04,0.51,4,6,100,41,191,235,43,12,21,1,3,16,18,213,464,7,9,1,0,9,0,15,19,0.44,103,51,52,0.5,69,36,8,13,865,0.9,2,17,17,11,0,19,0.58,7,56,5,28,16,4,6,5.6,7,9,34,1,0,3,0.01,10,0,0,0,0,0,0,0.0,0,0,0,0.0,0.5,0.5,0.88,0.88,,,,,4,5,5,5,0.88,3
4,6/25/2026,16:00,Germany,2,7,3,4,0,43%,5,2,0,0,3,3,10,0,0,0,39%,0.0,378,312,83%,50,24,0.48,13,3,0.23,7,0,2,7,1,1.27,1.27,0.68,0.59,1.63,1.57,1.51,0.06,2,1,66,23,80,117,18,10,19,3,0,13,18,147,244,15,10,3,0,3,2,9,11,0.45,106,54,52,0.51,86,45,9,19,580,0.82,2,30,30,16,0,26,0.61,12,50,6,18,22,6,5,12.7,15,7,33,0,1,2,0.01,11,1,0,0,0,0,0,0.0,0,0,0,0.0,0.65,0.65,0.94,0.94,0,0,1,1,4,5,1,1,-0.06,3
4,6/30/2026,22:00,Mexico,0,7,1,6,1,14%,5,2,0,0,4,2,10,0,0,0,57%,0.0,407,340,84%,52,16,0.31,25,3,0.12,1,1,0,6,1,0.72,0.72,0.66,0.07,0.63,0.58,0.53,0.05,1,1,73,36,89,132,19,4,12,1,0,16,22,153,279,14,10,3,1,8,3,12,21,0.36,89,40,49,0.45,56,28,7,13,570,0.83,1,21,21,8,0,11,0.73,6,33,0,12,20,10,5,13.2,14,4,18,0,2,1,0.0,15,0,0,0,0,0,0,0.0,0,0,0,0.0,1.02,1.02,1.43,1.43,0,0,0,0,10,14,0,0,-0.57,3
