Match Number,Date,Time (EST),Opponent,Goals,Shots,Shots on target,Shots off target,Shots on post,Shot Accuracy,Attempts inside box,Attempts outside box,Headed shots,Headed goals,Left footed shots,Right footed shots,Free kick shots,Free kick goals,Penalty kicks,Penalty kick goals,Possession,Possession time,Passes,Accurate passes,Pass Accuracy,Long balls,Accurate long balls,Long ball pct,Crosses,Accurate crosses,Cross pct,Through balls,Accurate through balls,Assists,Shot assists,Offsides,xG,xG non-penalty,xG open play,xG set play,xG on target,xA,xA open play,xA set play,Big chances created,Big chances missed,Final third entries,Penalty area entries,Successful final third passes,Total final third passes,Touches in opp box,Dispossessed,Unsuccessful touches,Fouled in final third,Total fastbreaks,Accurate throws,Total throws,Total back zone pass,Total fwd zone pass,Fouls committed,Fouls suffered,Yellow cards,Red cards,Corners won,Corners conceded,Aerials won,Aerials lost,Aerial duel pct,Duels,Duels won,Duels lost,Duel win pct,Ground duels,Ground duels won,Contests won,Total contests,Touches,Pass pct,Blocked shots,Effective clearances,Total clearances,Tackles won,Tackles lost,Total tackles,Tackle pct,Interceptions,Ball recoveries,Poss won att 3rd,Poss won mid 3rd,Poss won def 3rd,Attempts conceded inside box,Attempts conceded outside box,PPDA,FK fouls lost,Challenges lost,Defensive actions,Clean sheet,Goals conceded,Saves,Save pct,Shots faced,Crosses claimed,Unclaimed crosses,Punches,Smothers,PK faced,PK saved,PK save pct,PK conceded,Shootout kicks faced,Shootout saves,Shootout save pct,xG conceded,xG conceded non-pen,xG on target conceded,xG on target conceded non-pen,Accurate sweeper actions,Total sweeper actions,Good high claims,Total high claims,Accurate goal kicks,Goal kicks,Accurate keeper throws,Keeper throws,Goals prevented,Shots on goal against,ATK,DEF,EFF,AGG
3,6/13/2026,18:00,Morocco,1,12,5,7,0,42%,9,3,0,0,5,4,14,0,0,0,51%,0.0,514,449,87%,36,18,0.5,16,4,0.25,0,0,1,10,0,1.26,1.26,1.03,0.23,1.38,0.64,0.55,0.09,,1,54,21,69,100,22,4,14,,,17,17,268,262,16,14,2,0,6,2,12,4,0.75,115,53,62,0.46,99,41,5,27,704,0.87,3,23,23,13,0,23,0.56,5,46,2,24,17,7,7,8.1,16,16,38,0,1,2,0.01,14,0,0,1,0,0,0,0.0,0,0,0,0.0,1.37,1.37,0.74,0.74,,,,,4,4,2,2,-0.26,3,43.8,76.2,78.0,29.7
3,6/19/2026,20:30,Haiti,3,8,5,3,0,62%,8,,0,0,4,4,13,0,0,0,57%,0.0,525,462,88%,44,20,0.46,9,1,0.11,7,3,2,6,8,1.75,1.75,1.74,0.01,2.33,1.15,1.14,0.01,4,2,53,20,71,106,24,5,18,1,4,16,20,294,240,13,13,1,0,4,4,14,10,0.58,94,52,42,0.55,70,38,4,15,705,0.88,1,14,14,10,0,21,0.48,10,40,4,18,13,4,3,11.6,13,3,26,1,0,3,0.01,7,0,0,0,0,0,0,0.0,0,0,0,0.0,0.23,0.23,0.43,0.43,,,,,5,5,5,5,0.43,3,43.8,76.2,78.0,29.7
3,6/24/2026,18:00,Scotland,3,21,9,12,0,43%,14,7,0,1,4,16,10,0,0,0,54%,0.0,605,564,93%,27,12,0.44,12,2,0.17,3,3,3,18,1,4.33,4.33,4.22,0.12,4.8,2.55,2.52,0.03,6,3,68,26,110,131,35,6,12,1,3,9,10,270,347,11,10,2,0,7,7,14,5,0.74,78,49,29,0.63,59,35,11,17,776,0.93,5,24,24,6,0,14,0.43,13,48,3,19,20,10,4,24.3,11,2,16,1,0,5,0.01,14,0,0,2,0,0,0,0.0,0,0,0,0.0,1.04,1.04,1.23,1.23,0,0,0,0,4,4,5,5,1.23,5,43.8,76.2,78.0,29.7
