Match Number,Date,Time (EST),Opponent,Goals,Shots,Shots on target,Shots off target,Shots on post,Shot Accuracy,Attempts inside box,Attempts outside box,Headed shots,Headed goals,Left footed shots,Right footed shots,Free kick shots,Free kick goals,Penalty kicks,Penalty kick goals,Possession,Possession time,Passes,Accurate passes,Pass Accuracy,Long balls,Accurate long balls,Long ball pct,Crosses,Accurate crosses,Cross pct,Through balls,Accurate through balls,Assists,Shot assists,Offsides,xG,xG non-penalty,xG open play,xG set play,xG on target,xA,xA open play,xA set play,Big chances created,Big chances missed,Final third entries,Penalty area entries,Successful final third passes,Total final third passes,Touches in opp box,Dispossessed,Unsuccessful touches,Fouled in final third,Total fastbreaks,Accurate throws,Total throws,Total back zone pass,Total fwd zone pass,Fouls committed,Fouls suffered,Yellow cards,Red cards,Corners won,Corners conceded,Aerials won,Aerials lost,Aerial duel pct,Duels,Duels won,Duels lost,Duel win pct,Ground duels,Ground duels won,Contests won,Total contests,Touches,Pass pct,Blocked shots,Effective clearances,Total clearances,Tackles won,Tackles lost,Total tackles,Tackle pct,Interceptions,Ball recoveries,Poss won att 3rd,Poss won mid 3rd,Poss won def 3rd,Attempts conceded inside box,Attempts conceded outside box,PPDA,FK fouls lost,Challenges lost,Defensive actions,Clean sheet,Goals conceded,Saves,Save pct,Shots faced,Crosses claimed,Unclaimed crosses,Punches,Smothers,PK faced,PK saved,PK save pct,PK conceded,Shootout kicks faced,Shootout saves,Shootout save pct,xG conceded,xG conceded non-pen,xG on target conceded,xG on target conceded non-pen,Accurate sweeper actions,Total sweeper actions,Good high claims,Total high claims,Accurate goal kicks,Goal kicks,Accurate keeper throws,Keeper throws,Goals prevented,Shots on goal against,ATK,DEF,EFF,AGG
3,6/15/2026,12:00,Cape Verde,0,27,7,20,1,26%,16,11,0,0,9,9,1,0,0,0,74%,0.0,800,734,92%,30,24,0.8,36,6,0.17,4,3,0,19,2,2.1,2.1,1.67,0.43,1.45,3.62,3.27,0.35,2,2,84,63,388,443,51,12,12,,,17,18,132,704,10,1,1,0,11,1,19,9,0.68,80,40,40,0.5,52,21,7,13,987,0.92,8,7,7,12,0,13,0.92,6,55,10,26,11,2,4,7.6,10,4,38,1,0,1,0.01,6,0,0,0,0,0,0,0.0,0,0,0,0.0,0.2,0.2,0.13,0.13,1,1,,,5,5,7,7,0.13,1,38.6,88.1,55.4,30.6
3,6/21/2026,12:00,Saudi Arabia,4,22,8,14,1,36%,13,9,0,0,12,9,1,0,0,0,67%,0.0,726,668,92%,38,28,0.74,25,7,0.28,6,2,3,15,2,2.3,2.3,1.87,0.42,3.45,2.28,2.25,0.03,4,2,66,44,213,252,37,6,15,,,16,16,277,474,10,1,0,0,6,1,11,4,0.73,66,29,37,0.44,51,18,7,16,908,0.92,2,17,17,8,0,10,0.8,13,55,7,23,18,,3,7.5,10,8,37,1,0,1,0.01,3,1,0,0,0,0,0,0.0,0,0,0,0.0,0.14,0.14,0.1,0.1,1,1,1,1,1,1,7,7,0.1,1,38.6,88.1,55.4,30.6
3,6/26/2026,20:00,Uruguay,1,6,1,5,1,17%,5,1,0,0,2,3,13,0,0,0,67%,0.0,622,553,89%,34,18,0.53,12,3,0.25,1,0,1,6,2,0.86,0.86,0.73,0.12,0.2,0.54,0.41,0.14,1,1,47,22,78,108,19,13,19,0,0,9,10,351,283,14,13,1,0,6,1,16,5,0.76,106,55,51,0.52,85,39,9,21,809,0.89,1,23,23,10,0,17,0.59,9,51,5,17,16,2,3,8.6,14,7,25,1,0,2,0.01,5,2,0,0,0,0,0,0.0,0,0,0,0.0,0.2,0.2,0.1,0.1,0,0,0,2,6,6,11,12,0.1,2,38.6,88.1,55.4,30.6
4,7/2/2026,15:00,Austria,3,23,10,13,0,43%,15,8,0,1,10,9,15,0,0,0,64%,0.0,629,570,91%,35,23,0.66,22,8,0.36,0,0,3,21,2,2.84,2.84,2.06,0.77,2.43,1.67,1.4,0.26,3,1,53,32,138,166,51,8,18,3,1,14,15,293,358,8,15,0,0,9,0,12,3,0.8,83,53,30,0.64,68,41,7,15,828,0.91,7,15,15,13,0,19,0.68,6,46,9,21,10,4,1,8.9,8,5,34,1,0,0,,5,1,0,0,0,0,0,0.0,0,0,0,0.0,0.32,0.32,0.0,0.0,1,1,1,1,7,7,4,4,0.0,0,38.6,88.1,55.4,30.6
5,7/6/2026,15:00,Portugal,1,15,6,9,0,40%,8,7,0,0,7,7,8,0,0,0,55%,0.0,530,467,88%,33,16,0.48,16,1,0.06,9,4,1,7,1,1.69,1.69,1.56,0.12,1.46,1.09,1.09,0.0,2,2,47,33,121,152,27,9,18,3,3,17,17,212,334,13,8,1,0,7,3,4,11,0.27,82,35,47,0.43,67,31,5,10,710,0.88,3,13,13,13,0,18,0.72,6,47,5,18,13,7,3,12.0,13,10,26,1,0,2,0.01,10,2,0,0,0,0,0,0.0,0,0,0,0.0,0.63,0.63,0.89,0.89,1,1,2,2,6,6,8,9,0.89,2,38.6,88.1,55.4,30.6
6,7/10/2026,15:00,Belgium,2,17,8,9,0,47%,10,7,0,0,10,7,17,0,0,0,68%,0.0,664,598,90%,35,19,0.54,20,2,0.1,7,3,0,13,3,1.96,1.96,1.69,0.27,2.9,1.62,1.62,0.01,0,0,64,35,229,270,41,4,22,3,0,22,22,242,442,13,17,2,0,5,1,7,12,0.37,83,42,41,0.51,64,35,8,14,847,0.9,5,15,15,6,0,11,0.55,5,49,2,26,14,4,1,9.0,13,7,29,0,1,1,0.01,5,0,0,0,0,0,0,0.0,0,0,0,0.0,0.34,0.34,0.38,0.38,1,2,0,0,3,4,7,7,-0.62,2,38.6,88.1,55.4,30.6
