Match Number,Date,Time (EST),Opponent,Goals,Shots,Shots on target,Shots off target,Shots on post,Shot Accuracy,Attempts inside box,Attempts outside box,Headed shots,Headed goals,Left footed shots,Right footed shots,Free kick shots,Free kick goals,Penalty kicks,Penalty kick goals,Possession,Possession time,Passes,Accurate passes,Pass Accuracy,Long balls,Accurate long balls,Long ball pct,Crosses,Accurate crosses,Cross pct,Through balls,Accurate through balls,Assists,Shot assists,Offsides,xG,xG non-penalty,xG open play,xG set play,xG on target,xA,xA open play,xA set play,Big chances created,Big chances missed,Final third entries,Penalty area entries,Successful final third passes,Total final third passes,Touches in opp box,Dispossessed,Unsuccessful touches,Fouled in final third,Total fastbreaks,Accurate throws,Total throws,Total back zone pass,Total fwd zone pass,Fouls committed,Fouls suffered,Yellow cards,Red cards,Corners won,Corners conceded,Aerials won,Aerials lost,Aerial duel pct,Duels,Duels won,Duels lost,Duel win pct,Ground duels,Ground duels won,Contests won,Total contests,Touches,Pass pct,Blocked shots,Effective clearances,Total clearances,Tackles won,Tackles lost,Total tackles,Tackle pct,Interceptions,Ball recoveries,Poss won att 3rd,Poss won mid 3rd,Poss won def 3rd,Attempts conceded inside box,Attempts conceded outside box,PPDA,FK fouls lost,Challenges lost,Defensive actions,Clean sheet,Goals conceded,Saves,Save pct,Shots faced,Crosses claimed,Unclaimed crosses,Punches,Smothers,PK faced,PK saved,PK save pct,PK conceded,Shootout kicks faced,Shootout saves,Shootout save pct,xG conceded,xG conceded non-pen,xG on target conceded,xG on target conceded non-pen,Accurate sweeper actions,Total sweeper actions,Good high claims,Total high claims,Accurate goal kicks,Goal kicks,Accurate keeper throws,Keeper throws,Goals prevented,Shots on goal against,ATK,DEF,EFF,AGG
2,6/16/2026,15:00,Senegal,3,11,8,3,0,73%,7,4,0,0,7,4,8,0,0,0,53%,0.0,575,505,88%,44,20,0.46,9,0,0.0,6,5,2,9,1,1.79,1.79,1.79,,2.06,1.54,1.53,0.01,4,2,60,18,93,123,19,4,14,3,2,6,9,301,283,5,8,0,0,6,4,12,8,0.6,79,44,35,0.56,59,32,5,15,724,0.88,2,14,14,14,0,19,0.74,7,56,4,21,23,4,2,17.7,5,8,23,0,1,2,0.01,6,0,0,0,0,0,0,0.0,0,0,0,0.0,0.53,0.53,0.17,0.17,1,1,,,7,7,7,7,-0.83,3,50.2,81.6,78.9,29.3
2,6/22/2026,17:00,Iraq,3,19,5,14,1,26%,12,7,0,0,7,9,4,0,0,0,56%,0.0,603,540,90%,30,17,0.57,14,2,0.14,5,3,3,12,1,2.67,2.67,2.57,0.1,2.28,1.95,1.92,0.02,3,3,87,33,197,243,41,8,14,0,0,16,17,157,460,8,4,0,0,4,2,10,8,0.56,78,40,38,0.51,60,30,12,20,763,0.9,4,9,9,9,0,14,0.64,5,53,10,26,15,3,1,15.6,8,6,28,1,0,0,,4,0,0,0,0,0,0,0.0,0,0,0,0.0,0.63,0.63,0.0,0.0,1,1,0,0,4,4,2,2,0.0,0,50.2,81.6,78.9,29.3
3,6/26/2026,15:00,Norway,4,18,9,9,0,50%,10,8,0,1,5,12,8,0,0,0,57%,0.0,555,480,86%,53,28,0.53,10,3,0.3,7,3,4,16,2,1.5,1.5,1.33,0.18,3.0,1.26,1.25,0.01,1,2,57,24,136,172,31,8,13,1,4,12,12,218,347,11,8,1,0,5,4,14,7,0.67,87,45,42,0.52,66,31,7,17,733,0.86,3,19,19,12,0,17,0.71,11,54,4,22,24,6,4,10.7,11,7,31,0,1,3,0.01,10,0,0,0,0,0,1,0.0,0,0,0,0.0,1.7,0.91,1.41,0.78,1,1,0,0,4,5,4,4,0.41,4,50.2,81.6,78.9,29.3
4,6/30/2026,17:00,Sweden,3,25,12,13,2,48%,16,9,0,0,14,10,9,0,0,0,61%,0.0,551,485,88%,37,19,0.51,16,4,0.25,8,3,3,20,3,3.17,3.17,2.85,0.32,4.16,1.64,1.44,0.19,5,4,61,32,179,207,32,4,7,1,6,9,10,182,385,14,9,0,0,9,1,13,7,0.65,87,46,41,0.53,67,33,11,21,716,0.88,4,23,23,7,0,13,0.54,5,46,1,16,22,7,1,16.0,14,7,17,1,0,3,0.01,8,0,0,0,0,0,0,0.0,0,0,0,0.0,0.66,0.66,0.63,0.63,1,1,0,0,5,8,7,7,0.63,3,50.2,81.6,78.9,29.3
5,7/4/2026,17:00,Paraguay,1,15,5,10,0,33%,5,10,0,0,7,8,13,0,1,0,76%,0.0,569,510,90%,39,23,0.59,22,1,0.04,3,0,0,13,0,1.45,0.66,0.63,0.04,1.88,0.53,0.51,0.02,0,1,87,33,198,233,25,14,21,3,2,16,17,155,436,11,13,3,0,12,2,17,6,0.74,106,56,50,0.53,83,39,15,30,787,0.9,4,27,27,7,0,13,0.54,10,49,4,22,14,1,4,5.8,11,4,29,1,0,1,0.01,5,3,0,1,0,0,0,0.0,0,0,0,0.0,0.13,0.13,0.37,0.37,0,0,3,3,6,7,6,6,0.37,0,50.2,81.6,78.9,29.3
